--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 1413b34 · 2026-07-24 17:22:14 UTC
  ~ auto-generated — do not edit
]]


"lang"
{
	"Language"		"portuguese"
		"modifier_necrolyte_9_2"		"Aumentar Dano Death Pulse: 30%/<b><font color='#eabe10'>60%</font></b>/90% de Agilidade <br><br> Diminuir Custo de Mana Death Pulse: 30%/<b><font color='#eabe10'>60%</font></b>/90%"
		"modifier_necrolyte_9_3"		"Aumentar Dano Death Pulse: 30%/60%/<b><font color='#eabe10'>90%</font></b> de Agilidade <br><br> Diminuir Custo de Mana Death Pulse: 30%/60%/<b><font color='#eabe10'>90%</font></b>"

		"modifier_necrolyte_10_0"		"Nova habilidade ativa: Death Seeker <br><br> O herói se transforma em um grande projétil voando em direção ao local da criatura especificada. Ao atingir o alvo, o projétil aplicará Death Pulse aos inimigos e aliados ao seu redor. <br><br> Tempo de espera: 15 seg."
		"modifier_necrolyte_10_1"		"Nova habilidade ativa: <b><font color='#eabe10'>Death Seeker</font></b> <br><br> O herói se transforma em um grande projétil voando em direção ao local da criatura especificada. Ao atingir o alvo, o projétil aplicará <b><font color='#eabe10'>Death Pulse</font></b> aos inimigos e aliados ao seu redor. <br><br> Tempo de espera: 15 seg."

		"modifier_necrolyte_11_0"		"Death Seeker pode ser lançado em uma área. <br><br> Agilidade: 20"
		"modifier_necrolyte_11_1"		"Death Seeker pode ser lançado <b><font color='#eabe10'>em uma área</font></b>. <br><br> Agilidade: <b><font color='#eabe10'>20</font></b>"

		"modifier_necrolyte_12_0"		"<b><font color='#ff0000'>Remove a Foice do Reaper. </font></b> <br><br> Os ataques do Herói têm 33% de chance de causar dano físico adicional após um curto intervalo. <br><br> Dano: 50%/75%/100% de Agilidade<br> Atraso no Dano: 1 seg."
		"modifier_necrolyte_12_1"		"<b><font color='#ff0000'>Remove a Foice do Reaper. </font></b> <br><br> Os ataques do Herói têm 33% de chance de causar dano físico adicional após um curto intervalo. <br><br> Dano: <b><font color='#eabe10'>50%</font></b>/75%/100% de Agilidade<br> Atraso no Dano: 1 seg."
		"modifier_necrolyte_12_2"		"<b><font color='#ff0000'>Remove a Foice do Reaper. </font></b> <br><br> Os ataques do Herói têm 33% de chance de causar dano físico adicional após um curto intervalo. <br><br> Dano: 50%/<b><font color='#eabe10'>75%</font></b>/100% de Agilidade<br> Atraso no Dano: 1 seg."
		"modifier_necrolyte_12_3"		"<b><font color='#ff0000'>Remove a Foice do Reaper. </font></b> <br><br> Os ataques do Herói têm 33% de chance de causar dano físico adicional após um curto intervalo. <br><br> Dano: 50%/75%/<b><font color='#eabe10'>100%</font></b> de Agilidade<br> Atraso no Dano: 1 seg."

		"modifier_necrolyte_13_0"		"Heartstopper Aura causa Dano Físico em vez de Dano Mágico. <br><br> Redução da Armadura da Aura Heartstopper: 3/6/9"
		"modifier_necrolyte_13_1"		"Heartstopper Aura causa <b><font color='#eabe10'>Dano Físico</font></b> em vez de Dano Mágico. <br><br> Redução da Armadura da Aura Heartstopper: <b><font color='#eabe10'>3</font></b>/6/9"
		"modifier_necrolyte_13_2"		"Heartstopper Aura causa <b><font color='#eabe10'>Dano Físico</font></b> em vez de Dano Mágico. <br><br> Redução da Armadura da Aura Heartstopper: 3/<b><font color='#eabe10'>6</font></b>/9"
		"modifier_necrolyte_13_3"		"Heartstopper Aura causa <b><font color='#eabe10'>Dano Físico</font></b> em vez de Dano Mágico. <br><br> Redução da Armadura da Aura Heartstopper: 3/6/<b><font color='#eabe10'>9</font></b>"

		"modifier_necrolyte_14_0"		"Ghost Shroud não impede você de atacar. <br><br> Você não sofre Dano Mágico adicional durante Ghost Shroud. <br><br> Mortalha Fantasma não pode ser dissipada."
		"modifier_necrolyte_14_1"		"Mortalha Fantasma <b><font color='#eabe10'>não impede</font></b>que você ataque. <br><br> Durante o Ghost Shroud você não recebe <b><font color='#eabe10'>Dano Mágico</font></b> adicional. <br><br> Mortalha Fantasma <b><font color='#eabe10'>não pode ser</font></b> dissipada."

"modifier_necrolyte_15_0"		"Aumento do Raio de Death Pulse: 100/200 <br><br> Aumento da Cura de Death Pulse: 20/40"
"modifier_necrolyte_15_1"		"Aumento do Raio de Death Pulse: <b><font color='#eabe10'>100</font></b>/200 <br><br> Aumento da Cura de Death Pulse: <b><font color='#eabe10'>20</font></b>/40"
"modifier_necrolyte_15_2"		"Aumento do Raio de Death Pulse: 100/<b><font color='#eabe10'>200</font></b> <br><br> Aumento da Cura de Death Pulse: 20/<b><font color='#eabe10'>40</font></b>"

		"modifier_necrolyte_16_0"		"Redução do tempo de recarga da Foice do Reaper: 10/20/30 seg. <br><br> A Foice do Reaper mata Creeps instantaneamente e aumenta permanentemente a regeneração de saúde e mana."
		"modifier_necrolyte_16_1"		"Redução do tempo de recarga da Foice do Reaper: <b><font color='#eabe10'>10</font></b>/20/30 seg. <br><br> A Foice do Reaper mata Creeps instantaneamente e aumenta permanentemente a regeneração de saúde e mana."
		"modifier_necrolyte_16_2"		"Redução do tempo de recarga da Foice do Reaper: 10/<b><font color='#eabe10'>20</font></b>/30 seg. <br><br> A Foice do Reaper mata Creeps instantaneamente e aumenta permanentemente a regeneração de saúde e mana."
		"modifier_necrolyte_16_3"		"Redução do tempo de recarga da Foice do Reaper: 10/20/<b><font color='#eabe10'>30</font></b> seg. <br><br> A Foice do Reaper mata Creeps instantaneamente e aumenta permanentemente a regeneração de saúde e mana."

"modifier_necrolyte_17_0"		"<b><font color='#ff0000'> Reaper's Scythe não afeta heróis. </font></b> <br><br> Aumento da Regeneração de Vida e Mana por Abate de Reaper's Scythe: 1"
"modifier_necrolyte_17_1"		"<b><font color='#ff0000'> Reaper's Scythe não afeta heróis. </font></b> <br><br> Aumento da Regeneração de Vida e Mana por Abate de Reaper's Scythe: <b><font color='#eabe10'>1</font></b>"

		"modifier_necrolyte_18_0"		"Redução da Resistência Mágica da Aura Heartstopper: 10%/20%/30%"
		"modifier_necrolyte_18_1"		"Redução da Resistência Mágica da Aura Heartstopper: <b><font color='#eabe10'>10%</font></b>/20%/30%"
		"modifier_necrolyte_18_2"		"Redução da Resistência Mágica da Aura Heartstopper: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
		"modifier_necrolyte_18_3"		"Redução da Resistência Mágica da Aura Heartstopper: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

		"modifier_necrolyte_19_0"		"Saúde: 3%/6%/9% <br><br> Mana: 3%/6%/9%"
		"modifier_necrolyte_19_1"		"Saúde: <b><font color='#eabe10'>3%</font></b>/6%/9% <br><br> Mana: <b><font color='#eabe10'>3%</font></b>/6%/9%"
		"modifier_necrolyte_19_2"		"Saúde: 3%/<b><font color='#eabe10'>6%</font></b>/9% <br><br> Mana: 3%/<b><font color='#eabe10'>6%</font></b>/9%"
		"modifier_necrolyte_19_3"		"Saúde: 3%/6%/<b><font color='#eabe10'>9%</font></b> <br><br> Mana: 3%/6%/<b><font color='#eabe10'>9%</font></b>"

"modifier_necrolyte_20_0"		"Aumento de Dano de Death Pulse: 150% da Regeneração de Mana"
"modifier_necrolyte_20_1"		"Aumento de Dano de Death Pulse: <b><font color='#eabe10'>150%</font></b> da Regeneração de Mana"

		"modifier_necrolyte_21_0"		"Nova habilidade ativa: Morte <br><br> A morte tira a saúde e mana atuais do herói, mas em troca dá um escudo que absorve qualquer dano. <br><br> Perda de Saúde: 90% <br> Perda de Mana: 90% <br> Força do Escudo: 40% de Vida e Mana Perdidas <br> Duração: 20 seg. <br> Tempo de recarga: 30 seg."
		"modifier_necrolyte_21_1"		"Nova habilidade ativa: <b><font color='#eabe10'>Morte</font></b> <br><br> A morte tira a saúde e mana atuais do herói, mas em troca dá um escudo que absorve qualquer dano. <br><br> Perda de Saúde: 90% <br> Perda de Mana: 90% <br> Força do Escudo: <b><font color='#eabe10'>40%</font></b> de Vida e Mana Perdidas <br> Duração: 20 seg. <br> Tempo de recarga: 30 seg."


		//TALENTS ARC WARDEN (ROSHAN)


"modifier_arc_warden_1_0"		"Cada Ataque Restaura Vida: 10/20/30"
"modifier_arc_warden_1_1"		"Cada Ataque Restaura Vida: <b><font color='#eabe10'>10</font></b>/20/30"
"modifier_arc_warden_1_2"		"Cada Ataque Restaura Vida: 10/<b><font color='#eabe10'>20</font></b>/30"
"modifier_arc_warden_1_3"		"Cada Ataque Restaura Vida: 10/20/<b><font color='#eabe10'>30</font></b>"

		"modifier_arc_warden_2_0"		"Aumento de dano de golpe: 150%/200% de força"
		"modifier_arc_warden_2_1"		"Aumento de dano de golpe: <b><font color='#eabe10'>150%</font></b>/200% de força"
		"modifier_arc_warden_2_2"		"Aumento de dano de golpe: 150%/<b><font color='#eabe10'>200%</font></b> de força"

		"modifier_arc_warden_3_0"		"O Bash pode ser ativado. <br><br> O herói acelera e corre na direcção escolhida. Ao colidir com os inimigos, usa a habilidade Bash neles. Pode ser interrompido a qualquer momento com o comando cancel. Remove o limite de velocidade máxima de movimento durante uma incursão. <br><br> Aumento da velocidade de movimento durante a carga de pancada: 200 <br> Duração máxima da carga: 3 seg. <br> Raio: 300 <br> Tempo de recarga: 15 seg."
		"modifier_arc_warden_3_1"		"O Bash pode ser ativado. <br><br> O herói acelera e corre na direcção escolhida. Ao colidir com os inimigos, usa a habilidade Bash neles. Pode ser interrompido a qualquer momento com o comando cancel. Remove o limite de velocidade máxima de movimento durante uma incursão. <br><br> Aumento da velocidade de movimento durante a carga de pancada: <b><font color='#eabe10'>200</font></b> <br> Duração máxima da carga: <b><font color='#eabe10'>3</font></b> seg. <br> Raio: 300 <br> Tempo de recarga: 15 seg."

		"modifier_arc_warden_4_0"		"Maior velocidade de movimento durante Bash Run: 200/400"
		"modifier_arc_warden_4_1"		"Maior velocidade de movimento durante Bash Run: <b><font color='#eabe10'>200</font></b>/400"
		"modifier_arc_warden_4_2"		"Maior velocidade de movimento durante Bash Run: 200/<b><font color='#eabe10'>400</font></b>"

		"modifier_arc_warden_5_0"		"Aumenta a velocidade de ataque em 8/12/16 para cada 10% de saúde perdida."
		"modifier_arc_warden_5_1"		"Aumenta a velocidade de ataque em <b><font color='#eabe10'>8</font></b>/12/16 para cada <b><font color='#eabe10'>10%</font></b> de saúde perdida."
		"modifier_arc_warden_5_2"		"Aumenta a velocidade de ataque em 8/<b><font color='#eabe10'>12</font></b>/16 para cada <b><font color='#eabe10'>10%</font></b> de saúde perdida."
		"modifier_arc_warden_5_3"		"Aumenta a velocidade de ataque em 8/12/<b><font color='#eabe10'>16</font></b> para cada <b><font color='#eabe10'>10%</font></b> de saúde perdida."

		"modifier_arc_warden_6_0"		"Se a Vida Atual for inferior a 20%, então: <br><br> Redução do Dano Total Recebido: 6%/12%/18%"
		"modifier_arc_warden_6_1"		"Se a Vida Atual for inferior a <b><font color='#eabe10'>20%</font></b>, então: <br><br> Redução do Dano Total Recebido: <b><font color='#eabe10'>6%</font></b>/12%/18%"
		"modifier_arc_warden_6_2"		"Se a Vida Atual for inferior a <b><font color='#eabe10'>20%</font></b>, então: <br><br> Redução do Dano Total Recebido: 6%/<b><font color='#eabe10'>12%</font></b>/18%"
		"modifier_arc_warden_6_3"		"Se a Vida Atual for inferior a <b><font color='#eabe10'>20%</font></b>, então: <br><br> Redução do Dano Total Recebido: 6%/12%/<b><font color='#eabe10'>18%</font></b>"

"modifier_arc_warden_7_0"		"<b><font color='#ff0000'> Remove Immortal Throw. </font></b> <br><br> Nova Habilidade Ativa: Roar of Retribution <br><br> O herói solta um rugido audível por todo o mapa, causando dano mágico a todas as unidades na área e aumentando o dano recebido por elas. Concede visão desobstruída no local de uso. <br><br> Dano por Segundo: 75% da Força <br> Aumento de Dano Recebido: 15% <br> Duração do Efeito: 7 s. <br> Raio: 1200 <br> Tempo de Recarga: 20 s."
"modifier_arc_warden_7_1"		"<b><font color='#ff0000'> Remove Immortal Throw. </font></b> <br><br> Nova Habilidade Ativa: <b><font color='#eabe10'>Roar of Retribution</font></b> <br><br> O herói solta um rugido audível por todo o mapa, causando dano mágico a todas as unidades na área e aumentando o dano recebido por elas. Concede visão desobstruída no local de uso. <br><br> Dano por Segundo: <b><font color='#eabe10'>75%</font></b> da Força <br> Aumento de Dano Recebido: <b><font color='#eabe10'>15%</font></b> <br> Duração do Efeito: 7 s. <br> Raio: 1200 <br> Tempo de Recarga: 20 s."

"modifier_arc_warden_8_0"		"Usar Itens aumenta a Velocidade de Ataque: 30 <br><br> Duração do Efeito: 4/8 seg."
"modifier_arc_warden_8_1"		"Usar Itens aumenta a Velocidade de Ataque: <b><font color='#eabe10'>30</font></b> <br><br> Duração do Efeito: <b><font color='#eabe10'>4</font></b>/8 seg."
"modifier_arc_warden_8_2"		"Usar Itens aumenta a Velocidade de Ataque: <b><font color='#eabe10'>30</font></b> <br><br> Duração do Efeito: 4/<b><font color='#eabe10'>8</font></b> seg."

"modifier_arc_warden_9_0"		"Aumento da Chance de Bash: 3%/6%"
"modifier_arc_warden_9_1"		"Aumento da Chance de Bash: <b><font color='#eabe10'>3%</font></b>/6%"
"modifier_arc_warden_9_2"		"Aumento da Chance de Bash: 3%/<b><font color='#eabe10'>6%</font></b>"

"modifier_arc_warden_10_0"		"Nova Habilidade Ativa: Roshpit <br><br> Após uma breve preparação, o herói invoca um covil de pedra que bloqueia o movimento dos inimigos e limita sua visão. Aumenta a velocidade de movimento do herói dentro do covil.<br><br> Velocidade de Movimento: 30% <br> Duração: 6 seg. <br> Alcance: 400 <br> Raio: 550 <br> Tempo de Recarga: 30 seg."
"modifier_arc_warden_10_1"		"Nova Habilidade Ativa: <b><font color='#eabe10'>Roshpit</font></b> <br><br> Após uma breve preparação, o herói invoca um covil de pedra que bloqueia o movimento dos inimigos e limita sua visão. Aumenta a velocidade de movimento do herói dentro do covil.<br><br> Velocidade de Movimento: <b><font color='#eabe10'>30%</font></b> <br> Duração: <b><font color='#eabe10'>6</font></b> seg. <br> Alcance: 400 <br> Raio: 550 <br> Tempo de Recarga: 30 seg."

"modifier_arc_warden_11_0"		"Inimigos próximos das paredes dentro do covil ficam Atordoados: 1/2/3 seg. <br><br> Dano Mágico: 5%/10%/15%"
"modifier_arc_warden_11_1"		"Inimigos próximos das paredes dentro do covil ficam Atordoados: <b><font color='#eabe10'>1</font></b>/2/3 seg. <br><br> Dano Mágico: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"modifier_arc_warden_11_2"		"Inimigos próximos das paredes dentro do covil ficam Atordoados: 1/<b><font color='#eabe10'>2</font></b>/3 seg. <br><br> Dano Mágico: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"modifier_arc_warden_11_3"		"Inimigos próximos das paredes dentro do covil ficam Atordoados: 1/2/<b><font color='#eabe10'>3</font></b> seg. <br><br> Dano Mágico: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"modifier_arc_warden_12_0"		"Usar Itens tem 100% de chance de aplicar Bash em um inimigo aleatório em um raio de 800 <br><br> A duração desse Bash é reduzida pela metade. Prioriza heróis."
"modifier_arc_warden_12_1"		"Usar Itens tem <b><font color='#eabe10'>100%</font></b> de chance de aplicar Bash em um inimigo aleatório em um raio de <b><font color='#eabe10'>800</font></b> <br><br> A duração desse Bash é reduzida pela metade. Prioriza heróis."

		"modifier_arc_warden_13_0"		"Tempo de espera do item reduzido: 10%/15%/20%"
		"modifier_arc_warden_13_1"		"Tempo de espera do item reduzido: <b><font color='#eabe10'>10%</font></b>/15%/20%"
		"modifier_arc_warden_13_2"		"Tempo de espera do item reduzido: 10%/<b><font color='#eabe10'>15%</font></b>/20%"
		"modifier_arc_warden_13_3"		"Tempo de espera do item reduzido: 10%/15%/<b><font color='#eabe10'>20%</font></b>"

"modifier_arc_warden_14_0"		"Tempo Base de Ataque: 1.6"
"modifier_arc_warden_14_1"		"Tempo Base de Ataque: <b><font color='#eabe10'>1.6</font></b>"

		"modifier_arc_warden_15_0"		"Aumento de dano de Slam: 80%/120% de Inteligência"
		"modifier_arc_warden_15_1"		"Aumento de dano de Slam: <b><font color='#eabe10'>80%</font></b>/120% de Inteligência"
		"modifier_arc_warden_15_2"		"Aumento de dano de Slam: 80%/<b><font color='#eabe10'>120%</font></b> de Inteligência"

		"modifier_arc_warden_16_0"		"Nova habilidade passiva: Comer Roshefort <br><br> Concede permanentemente uma barreira que absorve 500 de dano. A barreira é restaurada a uma taxa de 2 unidades por segundo para cada nível de herói."
		"modifier_arc_warden_16_1"		"Nova habilidade passiva: <b><font color='#eabe10'>Comer Roshefort</font></b> <br><br> Concede permanentemente uma barreira que absorve <b><font color='#eabe10'>500</font></b> de dano. A barreira é restaurada a uma taxa de <b><font color='#eabe10'>2</font></b> unidades por segundo durante <b><font color='#eabe10'>1</font></b> nível de herói."

		"modifier_arc_warden_17_0"		"Se você não sofreu nenhum dano à Saúde nos últimos 3 segundos, então: <br><br> Reduza o Tempo de Recarga do Slam: 2.5/5 seg. <br> Dano Mágico: 10%/20%"
		"modifier_arc_warden_17_1"		"Se você não sofreu nenhum dano à Saúde nos últimos 3 segundos, então: <br><br> Reduza o Tempo de Recarga do Slam: <b><font color='#eabe10'>2.5</font></b>/5 seg. <br> Dano Mágico: <b><font color='#eabe10'>10%</font></b>/20%"
		"modifier_arc_warden_17_2"		"Se você não sofreu nenhum dano à Saúde nos últimos 3 segundos, então: <br><br> Reduza o Tempo de Recarga do Slam: 2.5/<b><font color='#eabe10'>5</font></b> seg. <br> Dano Mágico: 10%/<b><font color='#eabe10'>20%</font></b>"

"modifier_arc_warden_18_0"		"Redução do Tempo de Recarga de Immortal Throw: 10/20/30 s."
"modifier_arc_warden_18_1"		"Redução do Tempo de Recarga de Immortal Throw: <b><font color='#eabe10'>10</font></b>/20/30 s."
"modifier_arc_warden_18_2"		"Redução do Tempo de Recarga de Immortal Throw: 10/<b><font color='#eabe10'>20</font></b>/30 s."
"modifier_arc_warden_18_3"		"Redução do Tempo de Recarga de Immortal Throw: 10/20/<b><font color='#eabe10'>30</font></b> s."

		"modifier_arc_warden_19_0"		"Slam é aplicado instantaneamente. <br><br> Aumento do raio do golpe: 100/200/300"
		"modifier_arc_warden_19_1"		"Slam é aplicado <b><font color='#eabe10'>instantaneamente</font></b>. <br><br> Aumento do raio do golpe: <b><font color='#eabe10'>100</font></b>/200/300"
		"modifier_arc_warden_19_2"		"Slam é aplicado <b><font color='#eabe10'>instantaneamente</font></b>. <br><br> Aumento do raio do golpe: 100/<b><font color='#eabe10'>200</font></b>/300"
		"modifier_arc_warden_19_3"		"Slam é aplicado <b><font color='#eabe10'>instantaneamente</font></b>. <br><br> Aumento do raio do golpe: 100/200/<b><font color='#eabe10'>300</font></b>"

		"modifier_arc_warden_20_0"		"Spell Block reflete os feitiços inimigos. <br><br> Evasão: 0%/14%"
		"modifier_arc_warden_20_1"		"Spell Block <b><font color='#eabe10'>reflete</font></b> os feitiços inimigos. <br><br> Evasão: <b><font color='#eabe10'>0%</font></b>/14%"
		"modifier_arc_warden_20_2"		"Spell Block <b><font color='#eabe10'>reflete</font></b> os feitiços inimigos. <br><br> Evasão: 0%/<b><font color='#eabe10'>14%</font></b>"

		"modifier_arc_warden_21_0"		"Novo item ativo: Queijo <br><br> Restaura saúde e mana instantaneamente. O próximo Slam causará 3 vezes mais dano. O item pode ser vendido por 500 ouro. <br><br> Restaura Saúde: 1000 <br> Restaura Mana: 1000 <br> Tempo de espera: 25 seg. <br><br> Inteligência: 7%"
		"modifier_arc_warden_21_1"		"Novo item ativo: <b><font color='#eabe10'>Queijo</font></b> <br><br> Restaura saúde e mana instantaneamente. O próximo Slam causará <b><font color='#eabe10'>3</font></b> vezes mais dano. O item pode ser vendido por 500 ouro. <br><br> Restaura Saúde: <b><font color='#eabe10'>1000</font></b> <br> Restaura Mana: <b><font color='#eabe10'>1000</font></b> <br> Tempo de espera: 25 seg. <br><br> Inteligência: <b><font color='#eabe10'>7%</font></b>"


		//TALENTS NYX ASSASSIN


		"modifier_nyx_assassin_1_0"		"Aumento de dano de empalamento: 50%/100% de força"
		"modifier_nyx_assassin_1_1"		"Aumento de dano de empalamento: <b><font color='#eabe10'>50%</font></b>/100% de força"
		"modifier_nyx_assassin_1_2"		"Aumento de dano de empalamento: 50%/<b><font color='#eabe10'>100%</font></b> de força"

		"modifier_nyx_assassin_2_0"		"Mind Flare causa dano à saúde em vez de dano à mana."
		"modifier_nyx_assassin_2_1"		"Mind Flare causa dano à <b><font color='#eabe10'>saúde</font></b> em vez de dano à mana."

		"modifier_nyx_assassin_3_0"		"Velocidade de movimento: 20/40/60"
		"modifier_nyx_assassin_3_1"		"Velocidade de movimento: <b><font color='#eabe10'>20</font></b>/40/60"
		"modifier_nyx_assassin_3_2"		"Velocidade de movimento: 20/<b><font color='#eabe10'>40</font></b>/60"
		"modifier_nyx_assassin_3_3"		"Velocidade de movimento: 20/40/<b><font color='#eabe10'>60</font></b>"

		"modifier_nyx_assassin_4_0"		"Aumento de dano refletido da carapaça pontiaguda: 20%/40%/60%"
		"modifier_nyx_assassin_4_1"		"Aumento de dano refletido da carapaça pontiaguda: <b><font color='#eabe10'>20%</font></b>/40%/60%"
		"modifier_nyx_assassin_4_2"		"Aumento de dano refletido da carapaça pontiaguda: 20%/<b><font color='#eabe10'>40%</font></b>/60%"
		"modifier_nyx_assassin_4_3"		"Aumento de dano refletido da carapaça pontiaguda: 20%/40%/<b><font color='#eabe10'>60%</font></b>"

		"modifier_nyx_assassin_5_0"		"Impale não exigirá Cooldown com chance de: 10%/20%/30%"
		"modifier_nyx_assassin_5_1"		"Impale não exigirá Cooldown com chance de: <b><font color='#eabe10'>10%</font></b>/20%/30%"
		"modifier_nyx_assassin_5_2"		"Impale não exigirá Cooldown com chance de: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
		"modifier_nyx_assassin_5_3"		"Impale não exigirá Cooldown com chance de: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"modifier_nyx_assassin_6_0"		"<b><font color='#ff0000'> Spiked Carapace não bloqueia mais dano nem atordoa inimigos. </font></b> <br><br> Spiked Carapace reflete dano um número ilimitado de vezes."
"modifier_nyx_assassin_6_1"		"<b><font color='#ff0000'> Spiked Carapace não bloqueia mais dano nem atordoa inimigos. </font></b> <br><br> Spiked Carapace reflete dano <b><font color='#eabe10'>um número ilimitado de vezes</font></b>."

		"modifier_nyx_assassin_7_0"		"Nova habilidade ativa: Toca <br><br> O herói enterra-se apressadamente no chão. Aí recebe dano reduzido e melhora as suas habilidades: Carapaça Espinhosa afeta todos os inimigos em redor num raio de 400, Mind Flare e Impale ganham maior alcance de lançamento e o tempo de recarga também é reduzido. <br><br> Reduzir a velocidade de movimento na Toca: 300 <br> Reduzir o dano total recebido na Toca: 3% <br> Restaurar saúde e mana na Toca: 0,5% <br> Redução do Tempo de Recarga da Toca: 10% <br> Alcance adicional de feitiços: 100"
		"modifier_nyx_assassin_7_1"		"Nova habilidade ativa: <b><font color='#eabe10'>Toca</font></b> <br><br> O herói enterra-se apressadamente no chão. Aí recebe dano reduzido e melhora as suas habilidades: Carapaça Espinhosa afeta todos os inimigos em redor num raio de 400, Mind Flare e Impale ganham maior alcance de lançamento e o tempo de recarga também é reduzido. <br><br> Reduzir a velocidade de movimento na Toca: <b><font color='#eabe10'>300</font></b> <br> Reduzir o dano total recebido na Toca: <b><font color='#eabe10'>3%</font></b> <br> Restaurar saúde e mana na Toca: <b><font color='#eabe10'>0.5%</font></b> <br> Redução do Tempo de Recarga da Toca: <b><font color='#eabe10'>10%</font></b> <br> Alcance adicional de feitiços: <b><font color='#eabe10'>100</font></b>"

		"modifier_nyx_assassin_8_0"		"Carapaça Espinhosa quando ativada aumenta a Velocidade de Ataque: 150/225/300"
		"modifier_nyx_assassin_8_1"		"Carapaça Espinhosa quando ativada aumenta a Velocidade de Ataque: <b><font color='#eabe10'>150</font></b>/225/300"
		"modifier_nyx_assassin_8_2"		"Carapaça Espinhosa quando ativada aumenta a Velocidade de Ataque: 150/<b><font color='#eabe10'>225</font></b>/300"
		"modifier_nyx_assassin_8_3"		"Carapaça Espinhosa quando ativada aumenta a Velocidade de Ataque: 150/225/<b><font color='#eabe10'>300</font></b>"

		"modifier_nyx_assassin_9_0"		"Nova habilidade ativa: Nyx ​​​​Revenge <br><br> O herói devora instantaneamente a criatura selecionada e cria uma ilusão. <br><br> Dano de Ilusão: 50% <br> Dano de Ilusão Recebido: 200% <br> Duração: 11 seg. <br> Tempo de recarga: 20 seg."
		"modifier_nyx_assassin_9_1"		"Nova habilidade ativa: <b><font color='#eabe10'>Nyx Revenge</font></b> <br><br> O herói devora instantaneamente a criatura selecionada e cria uma ilusão. <br><br> Dano de Ilusão: <b><font color='#eabe10'>50%</font></b> <br> Dano de Ilusão Recebido: <b><font color='#eabe10'>200%</font></b> <br> Duração: 11 seg. <br> Tempo de recarga: 20 seg."

		"modifier_nyx_assassin_10_0"	"Nyx Revenge pode ser lançado em uma área para devorar o pobre Doom ou Night Stalker.<br><br> Saúde: 500"
		"modifier_nyx_assassin_10_1"	"Nyx Revenge pode ser lançado <b><font color='#eabe10'>em uma área</font></b> para devorar o pobre Doom ou Night Stalker. <br><br> Saúde: <b><font color='#eabe10'>500</font></b>"

		"modifier_nyx_assassin_11_0"	"Nyx Revenge criará uma ilusão adicional. <br><br> Aumenta a duração da ilusão de vingança de Nyx: 3/6/9 seg."
		"modifier_nyx_assassin_11_1"	"Nyx Revenge criará uma ilusão <b><font color='#eabe10'>adicional</font></b>. <br><br> Aumenta a duração da ilusão de vingança de Nyx: <b><font color='#eabe10'>3</font></b>/6/9 seg."
		"modifier_nyx_assassin_11_2"	"Nyx Revenge criará uma ilusão <b><font color='#eabe10'>adicional</font></b>. <br><br> Aumenta a duração da ilusão de vingança de Nyx: 3/<b><font color='#eabe10'>6</font></b>/9 seg."
		"modifier_nyx_assassin_11_3"	"Nyx Revenge criará uma ilusão <b><font color='#eabe10'>adicional</font></b>. <br><br> Aumenta a duração da ilusão de vingança de Nyx: 3/6/<b><font color='#eabe10'>9</font></b> seg."

		"modifier_nyx_assassin_12_0"	"Mind Flare cria uma ilusão. <br><br> Dano de Ilusão: 50% <br>Dano de Ilusão Recebido: 200% <br> Duração: 3/6/9 seg."
		"modifier_nyx_assassin_12_1"	"Mind Flare cria uma ilusão. <br><br> Dano de Ilusão: <b><font color='#eabe10'>50%</font></b> <br>Dano de Ilusão Recebido: <b><font color='#eabe10'>200%</font></b> <br> Duração: <b><font color='#eabe10'>3</font></b>/6/9 seg."
		"modifier_nyx_assassin_12_2"	"Mind Flare cria uma ilusão. <br><br> Dano de Ilusão: <b><font color='#eabe10'>50%</font></b> <br>Dano de Ilusão Recebido: <b><font color='#eabe10'>200%</font></b> <br> Duração: 3/<b><font color='#eabe10'>6</font></b>/9 seg."
		"modifier_nyx_assassin_12_3"	"Mind Flare cria uma ilusão. <br><br> Dano de Ilusão: <b><font color='#eabe10'>50%</font></b> <br>Dano de Ilusão Recebido: <b><font color='#eabe10'>200%</font></b> <br> Duração: 3/6/<b><font color='#eabe10'>9</font></b> seg."

		"modifier_nyx_assassin_13_0"	"Redução do tempo de recarga da carapaça pontiaguda: 1.5/3 seg."
		"modifier_nyx_assassin_13_1"	"Redução do tempo de recarga da carapaça pontiaguda: <b><font color='#eabe10'>1.5</font></b>/3 seg."
		"modifier_nyx_assassin_13_2"	"Redução do tempo de recarga da carapaça pontiaguda: 1.5/<b><font color='#eabe10'>3</font></b> seg."

