--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 0b85d8d 
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
rune_warlock_golem_desc,邪恶力量<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每点智力或力量提升<font color='#83d18a'> {hp_per_int_str}</font> 生命值<br>地狱火继承术士<font color='#83d18a'> {golem_hp_inherit_pct}%</font>生命值<br>地狱火[烈焰之拳] + 地狱火最大生命值×<font color='#83d18a'>{dmg_hp_pct}%</font> 伤害；地狱火[永久献祭] + 地狱火最大生命值×<font color='#83d18a'>{dmg_hp_pct}%</font>  伤害；均享受技能增强,Evil Power<br>Each point of Intelligence grants <font color='#ffffff'>{amp_per_int}%</font> Spell Amplification<br>Intelligence or Strength grants <font color='#ffffff'>{hp_per_int_str}</font> Health<br>Infernal Golem inherits <font color='#ffffff'>{golem_hp_inherit_pct}%</font> of Warlock's Health<br>Golem Flaming Fists and Permanent Immolation each gain bonus damage equal to <font color='#ffffff'>{dmg_hp_pct}%</font> of the Golem's Max Health; both benefit from Spell Amp,"Сила зла<br>Каждая единица интеллекта даёт <font color='#ffffff'>{amp_per_int}%</font> к усилению способностей<br>Интеллект или сила даёт <font color='#ffffff'>{hp_per_int_str}</font> к здоровью<br>Инфернальный голем наследует <font color='#ffffff'>{golem_hp_inherit_pct}%</font> здоровья Варлока<br>Пылающие кулаки и Вечное сожжение голема получают дополнительный урон, равный <font color='#ffffff'>{dmg_hp_pct}%</font> от макс. здоровья голема; оба эффекта усиливаются усилением способностей",邪恶力量
DOTA_Tooltip_sl_modifier_rune_warlock_golem,<font color='#ffffff'>邪恶力量</font>,<font color='#ffffff'>Evil Power</font>,<font color='#ffffff'>Сила зла</font>,邪恶力量
DOTA_Tooltip_sl_modifier_rune_warlock_golem_description,<font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>地狱火生命值继承：【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font><br><font color='#FFA500'>烈焰之拳/永久献祭额外最大生命值伤害（已计入技能增强）: 【+%fMODIFIER_PROPERTY_TOOLTIP2%%%】</font>,<font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>Infernal Golem Health Inheritance: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font><br><font color='#FFA500'>Flaming Fists / Permanent Immolation Bonus Max Health Damage (Spell Amp Applied): 【+%fMODIFIER_PROPERTY_TOOLTIP2%%%】</font>,<font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>Наследование здоровья голема: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font><br><font color='#FFA500'>Доп. урон Пылающих кулаков / Вечного сожжения: 【+%fMODIFIER_PROPERTY_TOOLTIP2%%%】</font>,邪恶力量
rune_warlock_shadow_word_desc,灵魂暗言<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每点智力或力量提升<font color='#83d18a'> {hp_per_int_str}</font> 生命值<br>暗言术每秒同时治疗或伤害目标最大生命值的<font color='#83d18a'> {heal_dmg_hp}%</font>,Soul Word<br>Each point of Intelligence grants <font color='#ffffff'>{amp_per_int}%</font> Spell Amplification<br>Intelligence or Strength grants <font color='#ffffff'>{hp_per_int_str}</font> Health<br>Shadow Word simultaneously heals or damages for <font color='#ffffff'>{heal_dmg_hp}%</font> of the target's Max Health per second,Слово души<br>Каждая единица интеллекта даёт <font color='#ffffff'>{amp_per_int}%</font> к усилению способностей<br>Интеллект или сила даёт <font color='#ffffff'>{hp_per_int_str}</font> к здоровью<br>Слово тьмы одновременно лечит или наносит урон в размере <font color='#ffffff'>{heal_dmg_hp}%</font> макс. здоровья цели в секунду,灵魂暗言
DOTA_Tooltip_sl_modifier_rune_warlock_shadow_word,<font color='#ffffff'>灵魂暗言</font>,<font color='#ffffff'>Soul Word</font>,<font color='#ffffff'>Слово души</font>,灵魂暗言
DOTA_Tooltip_sl_modifier_rune_warlock_shadow_word_description,<font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>暗言术每秒治疗或伤害最大生命值: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font>,<font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>Shadow Word Healing or Damage per Second: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font>,<font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>Лечение или урон Слова тьмы в секунду: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font>,灵魂暗言
rune_furion_explode_desc,自爆树人<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每点智力或力量提升<font color='#83d18a'> {hp_per_int_str}</font> 生命值<br>召唤树人直接产生的小树人死亡或持续时间结束后，经过<font color='#83d18a'> {explosion_delay}</font> 秒自爆，对<font color='#83d18a'> {explosion_radius}</font> 码内敌人造成 <font color='#83d18a'> {explosion}×等级</font> 点魔法伤害；该伤害享受技能增强加成且不伤害建筑,"Exploding Treants<br>Each point of Intelligence grants <font color='#ffffff'>{amp_per_int}%</font> Spell Amplification<br>Intelligence or Strength grants <font color='#ffffff'>{hp_per_int_str}</font> Health<br>When a small Treant directly created by Nature's Call dies or expires, after <font color='#ffffff'>{explosion_delay}</font> seconds it explodes, dealing Magic Damage equal to <font color='#ffffff'>{explosion}</font> times hero level to enemies within <font color='#ffffff'>{explosion_radius}</font> range; the damage benefits from Spell Amp and does not damage buildings",Взрывающиеся древни<br>Каждая единица интеллекта даёт <font color='#ffffff'>{amp_per_int}%</font> к усилению способностей<br>Интеллект или сила даёт <font color='#ffffff'>{hp_per_int_str}</font> к здоровью<br>Когда древень напрямую созданный Силой природы умирает или исчезает он взрывается через <font color='#ffffff'>{explosion_delay}</font> сек. и наносит <font color='#ffffff'>{explosion}</font> магического урона врагам в радиусе <font color='#ffffff'>{explosion_radius}</font>; урон усиливается усилением способностей и не действует на здания,自爆树人
DOTA_Tooltip_sl_modifier_rune_furion_explode,<font color='#ffffff'>自爆树人</font>,<font color='#ffffff'>Exploding Treants</font>,<font color='#ffffff'>Взрывающиеся древни</font>,自爆树人
DOTA_Tooltip_sl_modifier_rune_furion_explode_description,<font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>自爆魔法伤害（每级）: 【+%fMODIFIER_PROPERTY_TOOLTIP%】</font><br><font color='#FFA500'>自爆范围: 【+%fMODIFIER_PROPERTY_TOOLTIP2%】</font>,<font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>Explosion Magic Damage (per Level): 【+%fMODIFIER_PROPERTY_TOOLTIP%】</font><br><font color='#FFA500'>Explosion Radius: 【+%fMODIFIER_PROPERTY_TOOLTIP2%】</font>,<font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>Магический урон взрыва (за уровень): 【+%fMODIFIER_PROPERTY_TOOLTIP%】</font><br><font color='#FFA500'>Радиус взрыва: 【+%fMODIFIER_PROPERTY_TOOLTIP2%】</font>,自爆树人
rune_furion_full_desc,大自然的守护者<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每点智力或敏捷提升<font color='#83d18a'> {batk_per_int_agi}</font> 基础攻击力<br>召唤树人直接产生的小树人继承先知<font color='#83d18a'> {hp_pct}%</font> 生命值；传送施法期间减益免疫；自然之怒附带<font color='#83d18a'> 自身攻击力×{atk_pct}%</font> 点魔法伤害；先知对敌方建筑造成的伤害降低<font color='#83d18a'> {building_damage_penalty_pct}%</font>,Guardian of Nature<br>Each point of Intelligence grants <font color='#ffffff'>{amp_per_int}%</font> Spell Amplification<br>Intelligence or Agility grants <font color='#ffffff'>{batk_per_int_agi}</font> Base Attack Damage<br>Small Treants directly created by Nature's Call inherit <font color='#ffffff'>{hp_pct}%</font> of Furion's Health; Furion is Debuff Immune while teleporting; Wrath of Nature deals additional Magic Damage equal to <font color='#ffffff'>{atk_pct}%</font> of Furion's Attack Damage; Furion deals <font color='#ffffff'>{building_damage_penalty_pct}%</font> less damage to enemy buildings,Хранитель природы<br>Каждая единица интеллекта даёт <font color='#ffffff'>{amp_per_int}%</font> к усилению способностей<br>Интеллект или ловкость даёт <font color='#ffffff'>{batk_per_int_agi}</font> к базовому урону<br>Древни созданные Силой природы наследуют <font color='#ffffff'>{hp_pct}%</font> здоровья Фуриона; во время телепортации Фурион невосприимчив к отрицательным эффектам; Гнев природы наносит дополнительный магический урон в размере <font color='#ffffff'>{atk_pct}%</font> урона Фуриона; Фурион наносит на <font color='#ffffff'>{building_damage_penalty_pct}%</font> меньше урона вражеским зданиям,大自然的守护者
DOTA_Tooltip_sl_modifier_rune_furion_full,<font color='#ffffff'>大自然的守护者</font>,<font color='#ffffff'>Guardian of Nature</font>,<font color='#ffffff'>Хранитель природы</font>,大自然的守护者
DOTA_Tooltip_sl_modifier_rune_furion_full_description,<font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>小树人生命值继承: 【+%fMODIFIER_PROPERTY_TOOLTIP2%%%】</font><br>传送施法期间减益免疫<br>自然之怒附带<font color='#83d18a'>自身攻击力×%fMODIFIER_PROPERTY_TOOLTIP%%%</font> 点魔法伤害<br><font color='#808080'>对建筑伤害降低</font>,<font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>Treant Health Inheritance: 【+%fMODIFIER_PROPERTY_TOOLTIP2%%%】</font><br>Debuff Immune while teleporting<br>Wrath of Nature deals additional Magic Damage equal to <font color='#83d18a'>%fMODIFIER_PROPERTY_TOOLTIP%%%</font> of Attack Damage<br><font color='#808080'>Building Damage Reduction</font>,<font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>Наследование здоровья древней: 【+%fMODIFIER_PROPERTY_TOOLTIP2%%%】</font><br>Невосприимчивость к отрицательным эффектам во время телепортации<br>Гнев природы наносит дополнительный магический урон в размере <font color='#83d18a'>%fMODIFIER_PROPERTY_TOOLTIP%%%</font> урона от атаки<br><font color='#808080'>Снижение урона зданиям</font>,大自然的守护者
rune_enigma_control_desc,虚灵憎恶<br>每点智力或力量提升<font color='#83d18a'> {hp_per_int_str}</font> 生命值<br>每个虚灵被敌人击杀时，向击杀者发射追踪投射物；命中后造成敌人当前生命值×<font color='#83d18a'> {hps_pct}%</font>的魔法伤害并眩晕<font color='#83d18a'> {stun}</font>秒；敌人每次受到午夜凋零的首次伤害时眩晕<font color='#83d18a'> {stun_mid}</font>秒,Eidolon Abomination<br>Each point of Intelligence or Strength grants <font color='#ffffff'>{hp_per_int_str}</font> Health<br>When an Eidolon is killed by an enemy it fires a tracking projectile at the killer; on hit it deals Magic Damage equal to <font color='#ffffff'>{hps_pct}%</font> of the enemy's current Health and stuns for <font color='#ffffff'>{stun}</font> seconds; enemies are stunned for <font color='#ffffff'>{stun_mid}</font> seconds the first time they take Midnight Pulse damage,"Ужас эйдолонов<br>Каждая единица интеллекта или силы даёт <font color='#ffffff'>{hp_per_int_str}</font> к здоровью<br>Когда эйдолон убит врагом, он выпускает самонаводящийся снаряд в убийцу; при попадании наносит магический урон в размере <font color='#ffffff'>{hps_pct}%</font> текущего здоровья врага и оглушает на <font color='#ffffff'>{stun}</font> сек.; враги оглушаются на <font color='#ffffff'>{stun_mid}</font> сек. при первом уроне от Полночи",虚灵憎恶
DOTA_Tooltip_sl_modifier_rune_enigma_control,<font color='#ffffff'>虚灵憎恶</font>,<font color='#ffffff'>Eidolon Abomination</font>,<font color='#ffffff'>Ужас эйдолонов</font>,虚灵憎恶
DOTA_Tooltip_sl_modifier_rune_enigma_control_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br>虚灵被敌人击杀时向击杀者发射追踪投射物，命中后造成当前生命值<font color='#83d18a'> %fMODIFIER_PROPERTY_TOOLTIP%%%</font> 的魔法伤害并眩晕<br>午夜凋零首次伤害眩晕敌人<font color='#83d18a'> %fMODIFIER_PROPERTY_TOOLTIP2%</font> 秒,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br>When an Eidolon is killed by an enemy it fires a tracking projectile at the killer; on hit deals <font color='#ffffff'>%fMODIFIER_PROPERTY_TOOLTIP%%%</font> of current Health as Magic Damage and stuns; enemies are stunned for <font color='#ffffff'>%fMODIFIER_PROPERTY_TOOLTIP2%</font> seconds the first time they take Midnight Pulse damage,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br>При убийстве эйдолона врагом выпускается снаряд в убийцу; при попадании магический урон <font color='#ffffff'>%fMODIFIER_PROPERTY_TOOLTIP%%%</font> текущего здоровья и оглушение; оглушение на <font color='#ffffff'>%fMODIFIER_PROPERTY_TOOLTIP2%</font> сек. при первом уроне от Полночи,虚灵憎恶
rune_enigma_spell_desc,引力场<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每有1%技能增强，技能范围增加<font color='#83d18a'> {jnfw}</font> 码,Gravity Field<br>Each point of Intelligence grants <font color='#ffffff'>{amp_per_int}%</font> Spell Amplification<br>Each 1% Spell Amp increases Ability Radius by <font color='#ffffff'>{jnfw}</font>,Гравитационное поле<br>Каждая единица интеллекта даёт <font color='#ffffff'>{amp_per_int}%</font> к усилению способностей<br>Каждый 1% усиления способностей увеличивает радиус способностей на <font color='#ffffff'>{jnfw}</font>,引力场
DOTA_Tooltip_sl_modifier_rune_enigma_spell,<font color='#ffffff'>引力场</font>,<font color='#ffffff'>Gravity Field</font>,<font color='#ffffff'>Гравитационное поле</font>,引力场
DOTA_Tooltip_sl_modifier_rune_enigma_spell_description,<font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>技能范围增加：【+%fMODIFIER_PROPERTY_TOOLTIP%】</font>,<font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Ability Radius Increase: 【+%fMODIFIER_PROPERTY_TOOLTIP%】</font>,<font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Увеличение радиуса способностей: 【+%fMODIFIER_PROPERTY_TOOLTIP%】</font>,引力场
rune_nevermore_desc,恐惧降临<br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点敏捷提升<font color='#83d18a'> {batk_per_agi}</font> 基础攻击力<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每个灵魂提供<font color='#83d18a'> {jnzq}%</font> 技能增强；灵魂满层时，毁灭阴影消耗<font color='#83d18a'> {soul}</font> 个灵魂并恐惧敌人<font color='#83d18a'> {fear}</font> 秒（恐惧以影压为中心）,Fear Descends<br>Each point of Strength grants <font color='#ffffff'>{hp_per_str}</font> Health<br>Each point of Agility grants <font color='#ffffff'>{batk_per_agi}</font> Base Attack Damage<br>Each point of Intelligence grants <font color='#ffffff'>{amp_per_int}%</font> Spell Amplification<br>Each Soul grants <font color='#ffffff'>{jnzq}</font> Spell Amplification; at max Souls Shadowraze consumes <font color='#ffffff'>{soul}</font> Souls to Fear enemies for <font color='#ffffff'>{fear}</font> seconds with the Fear centered on the Shadowraze center,Страх надвигается<br>Каждая единица силы даёт <font color='#ffffff'>{hp_per_str}</font> к здоровью<br>Каждая единица ловкости даёт <font color='#ffffff'>{batk_per_agi}</font> к базовому урону<br>Каждая единица интеллекта даёт <font color='#ffffff'>{amp_per_int}%</font> к усилению способностей<br>Каждая душа даёт <font color='#ffffff'>{jnzq}</font> к усилению способностей; при максимуме душ Shadowraze расходует <font color='#ffffff'>{soul}</font> душ и пугает врагов на <font color='#ffffff'>{fear}</font> сек. с центром страха в центре Shadowraze,恐惧降临
DOTA_Tooltip_sl_modifier_rune_nevermore,<font color='#ffffff'>恐惧降临</font>,<font color='#ffffff'>Fear Descends</font>,<font color='#ffffff'>Страх надвигается</font>,恐惧降临
DOTA_Tooltip_sl_modifier_rune_nevermore_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>技能增强(包含灵魂)：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>每个灵魂技能增强: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font><br><font color='#FFA500'>恐惧时间: 【+%fMODIFIER_PROPERTY_TOOLTIP2%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Spell Amplification(including Souls): 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Spell Amp per Soul: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font><br><font color='#FFA500'>Fear Duration: 【+%fMODIFIER_PROPERTY_TOOLTIP2%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Усиление способностей (включая души): 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Усиление за душу: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font><br><font color='#FFA500'>Длительность страха: 【+%fMODIFIER_PROPERTY_TOOLTIP2%】</font>,恐惧降临
rune_tiny_desc,小小倒拔垂杨柳<br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点力量或敏捷提升<font color='#83d18a'> {batk_per_str_agi}</font> 基础攻击力<br>丢树或投掷树木落地后在目标位置生成一棵持续<font color='#83d18a'> {temporary_tree_duration}</font> 秒的临时树木<br> <font color='#83d18a'>18</font> 级后获得高空视野<br> 投掷对落点附带一次范围普通攻击,Bigger Bigger Bigger<br>Each point of Strength grants <font color='#ffffff'>{hp_per_str}</font> Health<br>Strength or Agility grants <font color='#ffffff'>{batk_per_str_agi}</font> Base Attack Damage<br>After Tree Throw or Tree Volley lands it creates a temporary tree at the target location for <font color='#ffffff'>{temporary_tree_duration}</font> seconds; gain Flying Vision at level 18; Toss deals one area basic attack at the landing point,Больше больше больше<br>Каждая единица силы даёт <font color='#ffffff'>{hp_per_str}</font> к здоровью<br>Сила или ловкость даёт <font color='#ffffff'>{batk_per_str_agi}</font> к базовому урону<br>После приземления Tree Throw или Tree Volley в месте цели появляется временное дерево на <font color='#ffffff'>{temporary_tree_duration}</font> сек.; с 18 уровня даёт беспрепятственный обзор; Toss наносит одну обычную атаку по области в месте приземления,小小倒拔垂杨柳
DOTA_Tooltip_sl_modifier_rune_tiny,<font color='#ffffff'>小小倒拔垂杨柳</font>,<font color='#ffffff'>Bigger Bigger Bigger</font>,<font color='#ffffff'>Больше больше больше</font>,小小倒拔垂杨柳
DOTA_Tooltip_sl_modifier_rune_tiny_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br>投掷对落点附带一次范围普通攻击<br><font color='#83d18a'>18</font> 级后获得高空视野<br>丢树或投掷树木落地后在目标位置生成一棵持续<font color='#83d18a'> %fMODIFIER_PROPERTY_TOOLTIP%</font> 秒的临时树木,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br>Toss deals one area basic attack at the landing point<br>Gain Flying Vision at level <font color='#83d18a'>18</font><br>After Tree Throw or Tree Volley lands a temporary tree is created at the target location for<font color='#83d18a'> %fMODIFIER_PROPERTY_TOOLTIP%</font> seconds,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br>Toss наносит одну обычную атаку по области в месте приземления<br>С <font color='#83d18a'>18</font> уровня даёт беспрепятственный обзор<br>После приземления Tree Throw или Tree Volley в месте цели появляется временное дерево на<font color='#83d18a'> %fMODIFIER_PROPERTY_TOOLTIP%</font> сек.,小小倒拔垂杨柳
rune_snapfire_desc,侧翼霰弹枪<br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点敏捷提升<font color='#83d18a'> {batk_per_agi}</font> 基础攻击力<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>电炎绝手无法手动选择敌人，持续自动攻击射程内距离自身最近的敌人，优先攻击英雄，自动攻击不影响移动，自动攻击无法触发[超级分裂箭][灵魂痛击],Flank Scattergun<br>Each point of Strength grants <font color='#ffffff'>{hp_per_str}</font> Health<br>Each point of Agility grants <font color='#ffffff'>{batk_per_agi}</font> Base Attack Damage<br>Each point of Intelligence grants <font color='#ffffff'>{amp_per_int}%</font> Spell Amplification<br>Snapfire cannot manually select attack targets; she continuously attacks the nearest enemy in range with heroes prioritized; automatic attacks do not interrupt movement and cannot trigger [Extra Strike] or [Soul Strike],Фланговый дробовик<br>Каждая единица силы даёт <font color='#ffffff'>{hp_per_str}</font> к здоровью<br>Каждая единица ловкости даёт <font color='#ffffff'>{batk_per_agi}</font> к базовому урону<br>Каждая единица интеллекта даёт <font color='#ffffff'>{amp_per_int}%</font> к усилению способностей<br>Snapfire не может вручную выбирать цели для атаки; она непрерывно атакует ближайшего врага в радиусе с приоритетом героев; автоматические атаки не прерывают движение и не могут активировать [Дополнительный удар] или [Soul Strike],侧翼霰弹枪
DOTA_Tooltip_sl_modifier_rune_snapfire,<font color='#ffffff'>侧翼霰弹枪</font>,<font color='#ffffff'>Flank Scattergun</font>,<font color='#ffffff'>Фланговый дробовик</font>,侧翼霰弹枪
DOTA_Tooltip_sl_modifier_rune_snapfire_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#83d18a'>电炎绝手自动攻击最近敌人并优先攻击英雄</font>,"<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#83d18a'>Snapfire automatically attacks the nearest enemy, prioritizing heroes</font>",<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#83d18a'>Snapfire автоматически атакует ближайшего врага с приоритетом героев</font>,侧翼霰弹枪
rune_lina_desc,战斗法师<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每点智力或敏捷提升<font color='#83d18a'> {batk_per_int_agi}</font> 基础攻击力<br>普通攻击附带<font color='#83d18a'> {magic_damage}×等级</font>点魔法伤害，该伤害享受技能增强加成（对建筑无效）,Fireball<br>Each point of Intelligence grants <font color='#ffffff'>{amp_per_int}%</font> Spell Amplification<br>Intelligence or Agility grants <font color='#ffffff'>{batk_per_int_agi}</font> Base Attack Damage<br>Attacks deal additional Magic Damage equal to <font color='#ffffff'>{magic_damage}</font> times hero level and this damage benefits from Spell Amp (does not affect buildings),Огненный шар<br>Каждая единица интеллекта даёт <font color='#ffffff'>{amp_per_int}%</font> к усилению способностей<br>Интеллект или ловкость даёт <font color='#ffffff'>{batk_per_int_agi}</font> к базовому урону<br>Атаки наносят дополнительный магический урон в размере <font color='#ffffff'>{magic_damage}</font> умноженного на уровень героя; этот урон усиливается усилением способностей (не действует на постройки),战斗法师
DOTA_Tooltip_sl_modifier_rune_lina,<font color='#ffffff'>战斗法师</font>,<font color='#ffffff'>Fireball</font>,<font color='#ffffff'>Огненный шар</font>,战斗法师
