--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 16fdfbc · 2026-08-07 21:47:55 UTC
  ~ auto-generated — do not edit
]]


"lang"
{
	"Language"		"Schinese"
	"Tokens"
	{
		//schinese/ability.vdf
		"DOTA_Tooltip_ability_ursa_talent"		"怒意狂击"
		"DOTA_Tooltip_ability_mechanics_146"		"冰封禁制"
		"DOTA_Tooltip_ability_mechanics_146_description"		"开战时晕眩敌人%sr_146_duration%秒。期间每%sr_146_interval%秒造成%sr_146_damage%点魔法伤害并施加%sr_146_count%层{KeyWord:Ice}"
		"DOTA_Tooltip_ability_mechanics_147"		"无光之盾"
		"DOTA_Tooltip_ability_mechanics_147_description"		"减少%sr_147_reduce%%被施加的负面状态，每损失%sr_147_shield_loss%点护盾就会清除%sr_147_purge_pct%%负面状态并造成%sr_147_shield_loss%点流失伤害"
		"DOTA_Tooltip_ability_mechanics_148"		"暗影剧毒"
		"DOTA_Tooltip_ability_mechanics_148_description"		"每%sr_148_interval%秒施放暗影剧毒，造成%sr_148_damage%点魔法伤害并施加%sr_148_injury%点{KeyWord:PermanentInjury}"
		"DOTA_Tooltip_ability_mechanics_149"		"灵魂链接"
		"DOTA_Tooltip_ability_mechanics_149_description"		"造成伤害时%sr_149_chance%%概率回复{KeyWord:Wisp}%sr_149_heal%点生命，{KeyWord:Wisp}的回复效果会对敌方造成%sr_149_damage%%回复量的纯粹伤害，-%sr_149_reduce%秒守卫效果触发间隔"
		"DOTA_Tooltip_ability_mechanics_150"		"蜥蜴绝吻"
		"DOTA_Tooltip_ability_mechanics_150_description"		"获得{KeyWord:Fury}时%sr_150_chance%%概率召唤火团，造成%sr_150_damage%点魔法伤害"
		"DOTA_Tooltip_ability_mechanics_151"		"七十二变"
		"DOTA_Tooltip_ability_mechanics_151_description"		"受到任意伤害有[%sr_151_base_chance%% + %sr_151_bonus_chance%%*闪避几率]的概率变换形态，期间免疫伤害，持续%sr_151_duration%秒。有%sr_151_cooldown%秒冷却"
		"DOTA_Tooltip_ability_mechanics_152"		"复仇"
		"DOTA_Tooltip_ability_mechanics_152_description"		"提升%sr_152_attack_pct%%攻击力。死亡后进入%sr_152_duration%秒灵魂状态，保留%sr_152_health_pct%%最大生命值，只能进行攻击。"
		"DOTA_Tooltip_ability_mechanics_153"		"斯洛姆战鼓"
		"DOTA_Tooltip_ability_mechanics_153_description"		"每%sr_153_interval%秒造成一次%sr_153_health_pct%%最大生命值的魔法伤害，并提升%sr_153_health_per%生命值，最多叠加%sr_153_max%层。"
		"DOTA_Tooltip_ability_mechanics_154"		"超负荷"
		"DOTA_Tooltip_ability_mechanics_154_description"		"每%r_154_power%%{KeyWord:Ulti}效果获得%r_154_mana%点基础魔法恢复"
		"DOTA_Tooltip_ability_mechanics_155"		"心炎"
		"DOTA_Tooltip_ability_mechanics_155_description"		"开战前获得%r_155_fury%层{KeyWord:Fury}和%r_155_fury_permanent%层{KeyWord:PermanentFury}"
		"DOTA_Tooltip_ability_mechanics_156"		"急速冷却"
		"DOTA_Tooltip_ability_mechanics_156_description"		"开战前施加%r_156_ice%层{KeyWord:Ice}和%r_156_ice_permanent%层{KeyWord:PermanentIce}"
		"DOTA_Tooltip_ability_mechanics_157"		"离子外壳"
		"DOTA_Tooltip_ability_mechanics_157_description"		"每获得%r_157_shield%层{KeyWord:Shield}，对敌人造成%r_157_damage%点魔法伤害"
		"DOTA_Tooltip_ability_mechanics_158"		"灵魂超度"
		"DOTA_Tooltip_ability_mechanics_158_description"		"每施加%r_158_injury%层{KeyWord:Injury}对敌人造成%r_158_damage%点魔法伤害"
		"DOTA_Tooltip_ability_mechanics_159"		"战斗专注"
		"DOTA_Tooltip_ability_mechanics_159_description"		"-%sr_159_rate%秒攻击间隔。获得%sr_159_lifesteal%%{Info:Buff_Lifesteal}，生命值首次低于%sr_159_threshold%%时额外获得%sr_159_lifesteal_bonus%%{Info:Buff_Lifesteal}和%sr_159_as%攻速，持续%sr_159_duration%秒"
		"DOTA_Tooltip_ability_mechanics_160"		"超新星"
		"DOTA_Tooltip_ability_mechanics_160_description"		"首次死亡时会变成一颗{Info:Buff_SuperNova}"
		"DOTA_Tooltip_ability_mechanics_161"		"极寒之拥"
		"DOTA_Tooltip_ability_mechanics_161_description"		"生命值首次低于%sr_161_threshold%%时，对自身释放{Info:Buff_ColdEmbrace}"
		"DOTA_Tooltip_ability_mechanics_162"		"竭心光环"
		"DOTA_Tooltip_ability_mechanics_162_description"		"每秒造成[期间回复生命值 * %sr_162_damage_pct%%]的魔法伤害。每次回复时有%sr_162_chance%%概率额外回复一次"
		"DOTA_Tooltip_ability_mechanics_163"		"灵魂猎手"
		"DOTA_Tooltip_ability_mechanics_163_description"		"开战前施加%sr_163_pre_injury_count%层易伤，且每次{KeyWord:Injury}伤害有%sr_163_chance%%概率不衰减。"
		"DOTA_Tooltip_ability_mechanics_164"		"混沌"
		"DOTA_Tooltip_ability_mechanics_164_description"		"每秒获得%n_164_chaos_count%层{KeyWord:ChaosPoint}"
		"DOTA_Tooltip_ability_mechanics_165"		"抑制混沌"
		"DOTA_Tooltip_ability_mechanics_165_description"		"敌人混沌流技能效果降低%n_165_reduce_pct%%"
		"DOTA_Tooltip_ability_mechanics_166"		"混沌之击"
		"DOTA_Tooltip_ability_mechanics_166_description"		"普攻%n_166_chance%%概率时获得%n_166_chaos_count%层{KeyWord:ChaosPoint}"
		"DOTA_Tooltip_ability_mechanics_167"		"灵巧混沌"
		"DOTA_Tooltip_ability_mechanics_167_description"		"每%n_167_count%点闪避增加%n_167_chaos_damage%点{KeyWord:Chaos}伤害"
		"DOTA_Tooltip_ability_mechanics_168"		"爆裂混沌"
		"DOTA_Tooltip_ability_mechanics_168_description"		"每%n_168_count%点暴击增加%n_168_chaos_damage%点{KeyWord:Chaos}伤害"
		"DOTA_Tooltip_ability_mechanics_169"		"混沌守卫"
		"DOTA_Tooltip_ability_mechanics_169_description"		"每个{KeyWord:Wisp}每%n_169_interval%秒获得%n_169_chaos_count%层{KeyWord:ChaosPoint}"
		"DOTA_Tooltip_ability_mechanics_170"		"奥术混沌"
		"DOTA_Tooltip_ability_mechanics_170_description"		"每次施放{KeyWord:Ulti}时，获得%n_170_chaos_count%层{KeyWord:ChaosPoint}"
		"DOTA_Tooltip_ability_mechanics_171"		"生命混沌"
		"DOTA_Tooltip_ability_mechanics_171_description"		"每%n_171_tick%秒，获得已损失生命值*%n_171_value%%的{KeyWord:ChaosPoint}，至少%n_171_min%点"
		"DOTA_Tooltip_ability_mechanics_172"		"回复混沌"
		"DOTA_Tooltip_ability_mechanics_172_description"		"每次{KeyWord:Regen}生命时，%n_172_chance%%概率获得%n_172_chaos_count%层{KeyWord:ChaosPoint}"
		"DOTA_Tooltip_ability_mechanics_173"		"混沌护盾"
		"DOTA_Tooltip_ability_mechanics_173_description"		"每次获得{KeyWord:Shield}时，%n_173_chance%%概率获得%n_173_chaos_count%层{KeyWord:ChaosPoint}"
		"DOTA_Tooltip_ability_mechanics_174"		"易伤混沌"
		"DOTA_Tooltip_ability_mechanics_174_description"		"每次施加{KeyWord:Injury}时，%n_174_chance%%概率获得%n_174_chaos_count%层{KeyWord:ChaosPoint}"
		"DOTA_Tooltip_ability_mechanics_175"		"极寒混沌"
		"DOTA_Tooltip_ability_mechanics_175_description"		"每次施加{KeyWord:Ice}时，%n_175_chance%%概率获得%n_175_chaos_count%层{KeyWord:ChaosPoint}"
		"DOTA_Tooltip_ability_mechanics_176"		"混沌炽焰"
		"DOTA_Tooltip_ability_mechanics_176_description"		"每次获得{KeyWord:Fury}时，%n_176_chance%%概率获得%n_176_chaos_count%层{KeyWord:ChaosPoint}"
		"DOTA_Tooltip_ability_mechanics_177"		"混沌剧毒"
		"DOTA_Tooltip_ability_mechanics_177_description"		"每次施加{KeyWord:Poison}时，%n_177_chance%%概率获得%n_177_chaos_count%层{KeyWord:ChaosPoint}"
		"DOTA_Tooltip_ability_mechanics_178"		"混沌涌动"
		"DOTA_Tooltip_ability_mechanics_178_description"		"造成{KeyWord:Chaos}伤害时，有%r_178_chance%%概率使{KeyWord:Chaos}伤害提升%r_178_damage_bonus%点，本回合战斗生效。"
		"DOTA_Tooltip_ability_mechanics_179"		"战斗饥渴"
		"DOTA_Tooltip_ability_mechanics_179_description"		"造成伤害时，有%r_179_chance%%概率获得%r_179_chaos_count%层{KeyWord:ChaosPoint}"
		"DOTA_Tooltip_ability_mechanics_180"		"衰退光环"
		"DOTA_Tooltip_ability_mechanics_180_description"		"+%r_180_chaos_bonus%{KeyWord:Chaos}伤害，每场战斗胜利永久提升%r_180_chaos%{KeyWord:Chaos}伤害"
		"DOTA_Tooltip_ability_mechanics_181"		"淘汰之刃"
		"DOTA_Tooltip_ability_mechanics_181_description"		"造成{KeyWord:Chaos}伤害后，敌方生命值若低于%sr_181_threshold%%释放{Info:Buff_CullingBlade}，间隔%sr_181_interval%秒。"
		"DOTA_Tooltip_ability_mechanics_182"		"末日"
		"DOTA_Tooltip_ability_mechanics_182_description"		"开战时获得%sr_182_chaos_count%层{KeyWord:PermanentChaosPoint}，并有%sr_182_chance%%概率抑制敌方流派效果。"
		"DOTA_Tooltip_ability_mechanics_183"		"强攻"
		"DOTA_Tooltip_ability_mechanics_183_description"		"永久提升%sr_183_base%点暴击，开战后提升%sr_183_count%点暴击，持续%sr_183_duration%秒"
		"DOTA_Tooltip_ability_mechanics_184"		"风行"
		"DOTA_Tooltip_ability_mechanics_184_description"		"永久提升%sr_184_base%点闪避，开战后提升%sr_184_count%点闪避，持续%sr_184_duration%秒"
		"DOTA_Tooltip_ability_mechanics_185"		"海妖外壳"
		"DOTA_Tooltip_ability_mechanics_185_description"		"单次承受超过%r_185_threshold%点的伤害时，获得%r_185_shield%{KeyWord:Shield}层数。"
		"DOTA_Tooltip_ability_mechanics_186"		"强盾锋刃"
		"DOTA_Tooltip_ability_mechanics_186_description"		"{KeyWord:Shield}和{KeyWord:Injury}相互抵消比例提高%n_186_convert%%。"
		"DOTA_Tooltip_ability_mechanics_187"		"水火并济"
		"DOTA_Tooltip_ability_mechanics_187_description"		"根据{KeyWord:Ice}和{KeyWord:Fury}的流派经验大小，(获得/施加)经验低的流派时有%n_187_chance%%概率(获得/施加)%n_187_count%层另一流派层数。经验相同时，{KeyWord:Fury}视为经验低的流派"
		"DOTA_Tooltip_ability_mechanics_188"		"剑舞"
		"DOTA_Tooltip_ability_mechanics_188_description"		"暴击{Info:Buff_Stun}敌方%sr_188_stun%秒，造成%sr_188_damage%%敌方当前生命值的{KeyWord:HpLoss}伤害，期间减少敌方%sr_188_evade_reduce%%闪避减伤。冷却%sr_188_cd%秒"
		"DOTA_Tooltip_ability_mechanics_189"		"折射"
		"DOTA_Tooltip_ability_mechanics_189_description"		"+%sr_189_evade_reduce%%闪避减伤，受到可以被闪避的伤害却没有闪避时，有%sr_189_chance%%概率对敌方造成【%sr_189_damage% + 该次伤害*%sr_189_damage_pct%%*自身闪避%】的{KeyWord:HpLoss}伤害。"
		"DOTA_Tooltip_ability_mechanics_190"		"奥术过载"
		"DOTA_Tooltip_ability_mechanics_190_description"		"血量低于%sr_190_threshold%%时自动释放1次大招，可触发大招流派技能，且接下来的%sr_190_duration%秒内英雄免疫{Info:Buff_Silence}。该效果仅生效一次"
		"DOTA_Tooltip_ability_mechanics_191"		"守卫庇护"
		"DOTA_Tooltip_ability_mechanics_191_description"		"英雄获得%r_191_health%%首发{KeyWord:Wisp}的生命值"
		"DOTA_Tooltip_ability_mechanics_192"		"天命之雨"
		"DOTA_Tooltip_ability_mechanics_192_description"		"每%sr_192_interval%秒，下次普攻造成期间%sr_192_damage%%回复量的流失伤害。触发{Info:Buff_RainOfDestiny}后失效"
		"DOTA_Tooltip_ability_mechanics_193"		"活性电击"
		"DOTA_Tooltip_ability_mechanics_193_description"		"每%sr_193_tick%秒造成【期间损失护盾*%sr_193_damage%%】的魔法伤害，并获得%sr_193_add_shiled_pct%%期间损失护盾量"
		"DOTA_Tooltip_ability_mechanics_194"		"午夜凋零"
		"DOTA_Tooltip_ability_mechanics_194_description"		"+%add_chaos_cnt%额外混沌点，造成{KeyWord:Chaos}伤害后，偷取敌方%sr_194_chaos_steal%%当前{KeyWord:ChaosPoint}层数"
		"DOTA_Tooltip_ability_mechanics_195"		"瘟疫之体"
		"DOTA_Tooltip_ability_mechanics_195_description"		"施加%sr_195_poison_deep%层{Info:Buff_Poison}，每%sr_195_tick%秒对敌方施加%sr_195_back%%期间自身受到的{KeyWord:Poison}层数"
		"DOTA_Tooltip_ability_mechanics_196"		"邪恶散播"
		"DOTA_Tooltip_ability_mechanics_196_description"		"受到伤害时有%sr_196_chance%%概率施加%sr_196_stack%层{KeyWord:Injury}"
		"DOTA_Tooltip_ability_mechanics_197"		"力量获取"
		"DOTA_Tooltip_ability_mechanics_197_description"		"+%sr_197_health%生命值，%sr_197_duration%秒内生命流派技能效果从已损失生命变为最大生命值"

		//schinese/shard.vdf
		"HeroShard"		"魔晶"
		"ShardCost_Description"		"<font color='#a6aea3'>开启天陨烬后，魔晶开启购买。<br><br>每个英雄仅拥有1个魔晶，不同的英雄适配不同的魔晶价格（魔晶I <font color='#ffffff'>800</font>金币/魔晶II <font color='#ffffff'>1000</font>金币）<br><br>每回合魔晶<font color='#ffffff'>-50</font>金币，中断对手<font color='#ffffff'>3</font>连胜/连败以上额外<font color='#ffffff'>-50</font>金币<br><br>魔晶最低价格为别为<font color='#ffffff'>200</font>和<font color='#ffffff'>400</font></font>"
		"ShardCost_Description2"		"<font color='#a6aea3'>每个英雄仅拥有1个魔晶，不同的英雄适配不同的魔晶价格（魔晶I <font color='#ffffff'>900</font>金币/魔晶II <font color='#ffffff'>1100</font>金币）<br><br>每次购买神符魔晶<font color='#ffffff'>-20</font>金币<br>每回合魔晶<font color='#ffffff'>-50</font>金币，中断对手<font color='#ffffff'>3</font>连胜/连败以上额外<font color='#ffffff'>-50</font>金币<br><br>魔晶最低价格为别为<font color='#ffffff'>200</font>和<font color='#ffffff'>400</font></font>"
		"ShardAbilityUpgrade"		"强化"
		"UnlockHeroShard"		"激活"
		"HeroShard_Unlocked"		"已激活"
		"HeroShard_Locked"		"未激活"
		"DOTA_Tooltip_ability_shard_empty_description"		"英雄暂无魔晶效果"
		"DOTA_Tooltip_ability_ursa_shard_ursa_ult"		"前%shard_count%次施加的怒意狂击效果翻倍"
		"DOTA_Tooltip_ability_life_stealer_shard_life_stealer_ult"		"感染有%chance%%概率使敌人缴械%duration%秒"
		"DOTA_Tooltip_ability_viper_shard_viper_talent"		"每层被动提供%magical_armor_pct%%魔法抗性和%ability_steal_pct%%技能吸血，最多%max_stack%层"
		"DOTA_Tooltip_ability_ogre_magi_shard_ogre_magi_ult"		"不再有魔法值，但是每次攻击有[%base_chance%+暴击率*%chance_factor%]%概率直接释放火焰爆轰"
		"DOTA_Tooltip_ability_tinker_shard_tinker_talent"		"每张传说卡额外增加%bonus%地精科技固定魔法伤害"
		"DOTA_Tooltip_ability_spectre_shard_spectre_ult"		"始终拥有幽鬼之刃的加成效果"
		"DOTA_Tooltip_ability_crystal_maiden_shard_crystal_maiden_talent"		"冰霜灵气变为增加%attack_speed%%额外攻击速度，但最多不会超过%attack_speed_max%%。攻击有%chance%%概率召唤1枚冰锥，可触发极寒领域的额外效果，冷却时间%interval%秒"
		"DOTA_Tooltip_ability_furion_shard_furion_talent"		"守卫额外获得%level%*英雄等级的减伤"
		"DOTA_Tooltip_ability_omni_knight_shard_omni_knight_talent"		"普攻有%chance%%概率触发洗礼基础效果"
		"DOTA_Tooltip_ability_magnataur_shard_description"		"生命流技能效果增加%health_per%%"
		"DOTA_Tooltip_ability_lich_shard_description"		"获得一张{Ability:98}，{Ability:98}+%damage%点伤害"
		"DOTA_Tooltip_ability_lich_shard"		"魔晶"
		"DOTA_Tooltip_ability_pudge_shard_pudge_talent"		"每%interval%秒对敌方和自身施加%poison_stack%层中毒"
		"DOTA_Tooltip_ability_pudge_shard"		"帕吉魔晶"
		"DOTA_Tooltip_ability_jugg_shard"		"迅风斩"
		"DOTA_Tooltip_ability_jugg_shard_description"		"每造成%trigger%次剑刃风暴和无敌斩伤害时进行迅风斩，造成%steal_hp_cnt%次附带%steal_hp_pct%%吸血的攻击"
		"DOTA_Tooltip_ability_hoodwink_shard_hoodwink_talent"		"受到物理伤害时有%chance%%几率免疫此次伤害，并释放%damage_pct%%伤害的大招"
		"DOTA_Tooltip_ability_skywrath_mage_shard_skywrath_mage_talent"		"每次释放奥法鹰隼+%magical_armor_pct%%魔法抗性，持续%duration%秒，最多叠加%max_stack%次"
		"DOTA_Tooltip_ability_ember_spirit_shard_description"		"无影拳有%again_chance%%概率施加%stun_duration%秒眩晕，并在%shard_duration%秒内每%shard_interval%秒释放一次无影拳，冷却%cooldown%秒"
		"DOTA_Tooltip_ability_sniper_shard_sniper_talent"		"爆头减少敌方%evade_reduce%%闪避减伤，持续%duration%秒"
		"DOTA_Tooltip_ability_luna_shard_luna_ult"		"开战时释放{Info:Buff_RingMoon}，触发环月时3秒内+18%减伤"
		"DOTA_Tooltip_ability_pangolier_shard"		"卷土重来"
		"DOTA_Tooltip_ability_pangolier_shard_description"		"生命值低于%threshold%%时触发1次，石鳞剑士将自身卷成保护性的圆球。期间缴械自身，获得最大生命值%shield_pct%%的护盾，期间每受到%count%次任意伤害释放%strike%次虚张声势单次刺击，持续%duration%秒"
		"DOTA_Tooltip_ability_chaos_knight_shard_chaos_knight_ult"		"横扫千军+%crit_bonus%%暴击率"
		"DOTA_Tooltip_ability_razor_shard_description"		"受到伤害时有%ability_chance%%概率释放等离子场，造成%magic_damage%点魔法伤害并附带%steal_health_pct%%技能吸血"
		"DOTA_Tooltip_ability_necrophos_shard_necrophos_talent"		"竭心光环的上限增加【额外回复*%count%】"
		"DOTA_Tooltip_ability_legion_commander_shard"		"魔晶"
		"DOTA_Tooltip_ability_legion_commander_shard_description"		"受到攻击时将立即作出一次额外附带%shield%%护盾层数伤害的反击{KeyWord:Attack}，冷却%base_duration%秒。该冷却会根据普攻流-勇气之霎的等级提升。"
		"DOTA_Tooltip_ability_faceless_void_shard_faceless_void_ult"		"时间结界每%interval%秒会额外造成一次魔法伤害，伤害为时间结界期间%interval%秒内时间锁定造成伤害的%damage_per%%。"
		"DOTA_Tooltip_ability_riki_shard_description"		"攻击提升【易伤流派经验*%damage%】点额外伤害"
		"DOTA_Tooltip_ability_nevermore_shard_nevermore_talent"		"根据当前失败的回合数额外获得灵魂。每失败%round%回合额外获得%count%层灵魂"
		"DOTA_Tooltip_ability_queenofpain_shard_description"		"自身受到的魔法伤害提升%damage_pct%%，每次受到魔法伤害都会提升%poison_damage%点{KeyWord:Poison}伤害，本回合生效"
		"DOTA_Tooltip_ability_mirana_shard_mirana_talent"		"每次造成物理伤害有%chance%%概率触发%count%次次级流星，造成%damage_pct%%流星伤害，场上每有1个守卫增加%wave%波流星"
		"DOTA_Tooltip_ability_blademaiden_shard_blademaiden_talent"		"每%count%次通过普攻触发的赤炎战刃获得%duration%秒无敌,+%ice_fury_against%%怒火和寒霜抵消比例"
		"DOTA_Tooltip_ability_windrunner_shard_windrunner_ult"		"普攻转化为单次强力击，强力击伤害 +【普攻流派经验*%exp_factor%】"
		"DOTA_Tooltip_ability_lina_shard_lina_ult"		"首次达到%fury_need%层怒火时开启腾焰斗篷：在%duration%秒内+%magical_crit%%魔法暴击概率"
		"DOTA_Tooltip_ability_kunkka_shard_kunkka_talent"		"每次普攻减少%interval%秒潮汐使者间隔"
		"DOTA_Tooltip_ability_nyx_assassin_shard_nyx_assassin_talent"		"尖刺外壳反弹伤害和易伤层数+%add_pct%%。"
		"DOTA_Tooltip_ability_dazzle_shard_description"		"免疫一次致命伤害。在接下来%duration%秒内，免疫物理伤害、魔法伤害、流失伤害和混沌伤害"
		"DOTA_Tooltip_ability_ancient_apparition_shard_ancient_apparition_talent"		"死亡雾霜触发时，施加%scar_pct%%敌方最大生命值的{Info:modifier_scar_custom}效果"
		"DOTA_Tooltip_ability_lycan_shard_description"		"-%attackrate%攻击间隔"
		"DOTA_Tooltip_ability_huskar_shard_huskar_talent"		"每层狂战士之血+%attackspeed%攻速"
		"DOTA_Tooltip_ability_zen_shard_description"		"减少%buff_per%%被施加的负面状态"
		"DOTA_Tooltip_ability_wasteland_guardian_shard_wasteland_guardian_talent"		"每获得%count%层过载释放%wave%道震波"
		"DOTA_Tooltip_ability_marci_shard"		"魔晶"
		"DOTA_Tooltip_ability_marci_shard_description"		"获得%lifesteal%%{Info:Buff_Lifesteal}"
		"DOTA_Tooltip_ability_phantom_assassin_shard_phantom_assassin_ult"		"首次普攻暴击时会附带%count%次{Info:Buff_FanOfKnives}并施加%duration%秒的{Info:Buff_Broken}效果"
		"DOTA_Tooltip_ability_zuus_shard_zuus_talent"		"每场战斗的前%count%次弧形闪电额外造成敌方%health_pct%%当前生命值的魔法伤害"
		"DOTA_Tooltip_ability_templar_assassin_shard_templar_assassin_talent"		"被{Info:Buff_Stun}时触发灵能"
		"DOTA_Tooltip_ability_dark_willow_shard_dark_willow_talent"		"每%count%朵荆棘眩晕敌方%stun%秒"
		"DOTA_Tooltip_ability_void_spirit_shard_description"		"立即获得所有天赋"
		"DOTA_Tooltip_ability_drow_ranger_shard_drow_ranger_ult"		"释放大招后会释放一阵狂风，沉默敌方%duration%秒并降低其%evasion_reduce%点{KeyWord:Evade}"
		"DOTA_Tooltip_ability_abaddon_shard_abaddon_ult"		"生命值低于%threshold%%时释放一次回光返照"
		"DOTA_Tooltip_ability_muerta_shard"		"亡魂"
		"DOTA_Tooltip_ability_muerta_shard_description"		"召唤亡魂。每场战斗胜利提升%amp_ulti_pct%%大招增强，有追溯效果。"
		"DOTA_Tooltip_ability_ringmaster_shard_ringmaster_talent"		"+%count%纪念品层数"
		"DOTA_Tooltip_ability_monkey_king_shard_monkey_king_talent"		"+%count%猴毛上限"
		"DOTA_Tooltip_ability_earthshaker_shard_earthshaker_ult"		"{Info:Buff_CustomMana}上限-%mana_reduce%。{Info:Buff_CustomMana}达到%threshold1%/%threshold2%/%max_mana%时释放强化图腾/沟壑/回音击"
		"DOTA_Tooltip_ability_lion_shard_lion_ult"		"获得死亡之心*%attack_damage%的攻击力"
		"DOTA_Tooltip_ability_shredder_shard_shredder_talent"		"活体护甲达到%count%层时，获得最大活体护甲层数和%shield%层护盾"
		"DOTA_Tooltip_ability_doom_bringer_shard_description"		"每%round%回合随机偷取%count%个玩家技能，有追溯效果"
		"DOTA_Tooltip_ability_zombie_guitarist_shard_zombie_guitarist_talent"		"音符红、音符紫+%count%额外流派效果层数"
		"DOTA_Tooltip_ability_axe_shard_axe_ult"		"若敌人由<font color='#bc856e'>吼声震天</font>效果击杀，英雄永久获得%damage_reduce%%物理伤害减免，有追溯效果"
		"DOTA_Tooltip_ability_kez_shard_kez_talent_s"		"翔影之钗变为闪避时有%chance%%概率标记敌方。"
		"DOTA_Tooltip_ability_kez_shard_kez_ult_s"		"天隼冲击状态下获得%evade%点{KeyWord:Evade}，不可叠加"
		"DOTA_Tooltip_ability_witch_doctor_shard"		"魔晶"
		"DOTA_Tooltip_ability_witch_doctor_shard_description"		"巫毒疗法的回复转化为魔法伤害，可通过切换技切换。获得驱邪护符：下%count%场战斗，胜利获得%win_gold%金币，失败随机获得%loss_ability%张技能。"
		"DOTA_Tooltip_ability_demon_master_shard_demon_master_talent"		"+%heal_pct%%天魔解体血印回复系数"
		"DOTA_Tooltip_ability_troll_warlord_shard_troll_warlord_interact"		"热血战魂叠加到最大层数时，获得%fury%点{KeyWord:PermanentFury}并施加%ice%点{KeyWord:PermanentIce}"
		"DOTA_Tooltip_ability_alchemist_shard_alchemist_ult"		"化学狂暴状态下的攻击附带%poison%层中毒，且敌人攻击力降低%attack_reduce%%，持续%duration%秒。独立叠加"
		"DOTA_Tooltip_ability_clinkz_shard"		"魔晶"
		"DOTA_Tooltip_ability_clinkz_shard_description"		"首个敌人或自己的首发{KeyWord:Wisp}死亡时，自身和自身守卫{KeyWord:Regen}【%regen_per%%该守卫最大生命值】的生命值"
		"DOTA_Tooltip_ability_leshrac_shard_description"		"生命值低于%thresold%%时，使自己进入虚无形态，免疫物理伤害，造成的魔法伤害提升%magic_pct%%，持续%duration%秒"
		"DOTA_Tooltip_ability_grimstroke_shard"		"魔晶"
		"DOTA_Tooltip_ability_grimstroke_shard_grimstroke_talent"		"每有1个增益/负面流派达到%level%级，绝笔附带%count%层该流派效果"
		"DOTA_Tooltip_ability_mars_shard_mars_talent"		"{KeyWord:Shield}每吸收%threshold%点伤害释放%count%次神之谴戒，冷却%cooldown%秒"
		"DOTA_Tooltip_ability_tiny_shard_tiny_ult"		"每次扔出的树木有%chance%%概率额外投掷一棵"
		"DOTA_Tooltip_ability_undying_shard_undying_talent"		"腐朽期间，+%bonus_heal%额外回复，最多叠加%max_stack%次"
		"DOTA_Tooltip_ability_phantom_lancer_shard_phantom_lancer_talent"		"+%bonus_count%幻象上限"
		"DOTA_Tooltip_ability_bristleback_shard_description"		"战斗开始时自动释放一次粘稠鼻液和刺针扫射"
		"DOTA_Tooltip_ability_silencer_shard_description"		"击杀敌方永久获取%amp_ulti_pct%%大招增强，具有回溯效果"
		"DOTA_Tooltip_ability_sxy_shard_description"		"血色回响附带%atk_damage_pct%%攻击力的伤害"
		"DOTA_Tooltip_ability_broodmother_shard_description"		"开局召唤一个{KeyWord:Wisp}，拥有【%base_health%+%bonus_health%*英雄等级】的生命值。该守卫死亡时，会孵化%count%只小蜘蛛"
		"DOTA_Tooltip_ability_bloodseeker_shard"		"魔晶"
		"DOTA_Tooltip_ability_bloodseeker_shard_description"		"敌方{KeyWord:Wisp}死亡时，自身回复该守卫最大生命值%regen_health_pct%%的生命值"
		"DOTA_Tooltip_ability_pugna_shard_description"		"每击杀一个敌方{KeyWord:Wisp}，提升%first_wisp_hp_add_pct%%首发{KeyWord:Wisp}生命值"
		"DOTA_Tooltip_ability_antimage_shard_description"		"敌方每%interval%秒未释放大招时自动释放大招"
		"DOTA_Tooltip_ability_dragon_knight_shard_description"		"飞龙之怒解锁黑龙进化，并额外获得%upgrade_point%点龙之血"
		"DOTA_Tooltip_ability_enigma_shard"		"魔晶"
		"DOTA_Tooltip_ability_enigma_shard_description"		"每个虚灵体提供%magic_incoming%%魔法伤害减免。"
		"DOTA_Tooltip_ability_primal_beast_shard_description"		"每次叠加咤时有%chance%%概率砸出一块石头，造成%damage%点物理伤害并眩晕敌方%duration%秒。"
		"DOTA_Tooltip_ability_largo_shard_description"		"大招期间每消耗%consume%战意释放动人之舐：造成%damage%点魔法伤害，回复%reply_health%点生命"
		"DOTA_Tooltip_ability_lone_druid_shard_description"		"德鲁伊不再继承普攻流技能。熊灵继承普攻流技能效果，攻击间隔受攻速影响"
		"DOTA_Tooltip_ability_terrorblade_shard_description"		"自身伤痕达到上限时，释放魂断:交换双方血量，交换后血量不低于%min_health%%最大生命值，并将自身伤痕效果转移至敌方，冷却%countdown%秒。+%scar_limit%%敌方伤痕上限。"
		"DOTA_Tooltip_ability_beastmaster_shard"		"魔晶"
		"DOTA_Tooltip_ability_beastmaster_shard_description"		"流失伤害可以暴击，继承当前魔法暴击值，刀背兽伤害转为流失伤害"
		"DOTA_Tooltip_ability_batrider_shard"		"魔晶"
		"DOTA_Tooltip_ability_batrider_shard_description"		"火焰飞行释放时施加%oil_stack%层粘性燃油，期间每%fury_interval%秒获得%shard_fury_stack%层怒火"
		"DOTA_Tooltip_ability_abyssal_underlord_shard_description"		"每层被动层数+%damage_reduce_pct%%伤害减免"
