--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
DOTA_Tooltip_modifier_generic_ignite_Description,Периодически получает чистый урон. Каждый уровень поджога наносит процент урона от (интеллект + сила) накладывающего в секунду. Уровни суммируются. Повторное наложение обновляет длительность.
DOTA_Tooltip_modifier_generic_slow_Description,"Снижает скорость передвижения и атаки. Каждый уровень снижает на 3%, максимум 10 уровней."
DOTA_Tooltip_modifier_generic_vulnerable_Description,"Увеличивает весь получаемый урон. Изначально +15%, каждый дополнительный уровень +2%, максимум 25%."
DOTA_Tooltip_modifier_env_dark_gaze,Тёмный взгляд
DOTA_Tooltip_modifier_env_dark_gaze_Description,Каждый уровень теряет 2%% максимального здоровья в секунду. При превышении 10 уровней смерть.
DOTA_Tooltip_modifier_m013_contract_gold,Орудие жажды
DOTA_Tooltip_modifier_m013_contract_gold_Description,<h1>Выгода</h1>Значительно увеличивает количество выпадаемых предметов.<br><br><h1>Цена</h1>Уровень 1: разрушение сундука может вызвать преследование стража.
DOTA_Tooltip_modifier_m013_contract_gold_2,Орудие жажды
DOTA_Tooltip_modifier_m013_contract_gold_2_Description,<h1>Выгода</h1>Огромное увеличение количества выпадаемых предметов.<br><br><h1>Цена</h1>Уровень 1: разрушение сундука может вызвать преследование стража.<br>Уровень 2: убийство элитного монстра может вызвать преследование стража.
DOTA_Tooltip_modifier_m013_contract_life,Нить жизни
DOTA_Tooltip_modifier_m013_contract_life_Description,<h1>Выгода</h1>Каждый уровень контракта даёт 1 шанс заблокировать смертельный урон и восстановить полное здоровье.<br><br><h1>Цена</h1>Уровень 1: элитный монстр получает 1 возрождение.
DOTA_Tooltip_modifier_m013_contract_life_boss_phase,Нити жизни
DOTA_Tooltip_modifier_m013_contract_life_boss_phase_Description,После смерти переходит во 2-ю фазу.
DOTA_Tooltip_modifier_m013_contract_life_2,Нити жизни
DOTA_Tooltip_modifier_m013_contract_life_2_Description,<h1>Награда</h1>Каждый уровень контракта даёт +1 шанс выдержать смертельный удар и восстановить полное здоровье.<br><br><h1>Цена</h1>1 уровень: элитные монстры получают 1 воскрешение.<br>2 уровень: боссы/главные боссы получают 1 воскрешение.
DOTA_Tooltip_modifier_m013_contract_life_revive,Воскрешение нитей
DOTA_Tooltip_modifier_m013_contract_life_revive_Description,Осталось %dMODIFIER_PROPERTY_TOOLTIP% воскрешений; при активации восстанавливает полное здоровье и даёт 3 секунды неуязвимости для восстановления.
DOTA_Tooltip_modifier_m013_contract_life_recovering,Восстановление контракта
DOTA_Tooltip_modifier_m013_contract_life_recovering_Description,Шаги смерти сдерживаются невидимой рукой.
DOTA_Tooltip_modifier_m013_contract_power,Пожиратель миров
DOTA_Tooltip_modifier_m013_contract_power_Description,"<h1>Награда</h1>Все характеристики увеличены на %dMODIFIER_PROPERTY_TOOLTIP%%, базовый запас здоровья увеличен на %dMODIFIER_PROPERTY_TOOLTIP2%%.<br><br><h1>Цена</h1>1 уровень: попадание способности элитного монстра добавляет 5 стаков отката.<br>Каждый стак отката снижает все характеристики и базовый запас здоровья на 1%%."
DOTA_Tooltip_modifier_m013_contract_power_2,Пожиратель миров
DOTA_Tooltip_modifier_m013_contract_power_2_Description,"<h1>Награда</h1>Все характеристики увеличены на %dMODIFIER_PROPERTY_TOOLTIP%%, базовый запас здоровья увеличен на %dMODIFIER_PROPERTY_TOOLTIP2%%.<br><br><h1>Цена</h1>1 уровень: попадание способности элитного монстра добавляет 5 стаков отката.<br>2 уровень: способности боссов и мини-боссов также добавляют 5 стаков отката.<br>Каждый стак отката снижает все характеристики и базовый запас здоровья на 1%%."
DOTA_Tooltip_modifier_m013_contract_power_debt,Откат контракта
DOTA_Tooltip_modifier_m013_contract_power_debt_Description,Все характеристики и базовый запас здоровья снижены на %dMODIFIER_PROPERTY_TOOLTIP%%.
DOTA_Tooltip_modifier_greed_cave_player_poison,Яд подземелья
DOTA_Tooltip_modifier_greed_cave_player_poison_Description,Модификатор Небесного подземелья: периодическая потеря здоровья в бою.
DOTA_Tooltip_modifier_greed_cave_healing_down,Ослабление лечения
DOTA_Tooltip_modifier_greed_cave_healing_down_Description,Модификатор Небесного подземелья: получаемое лечение и восстановление снижены.
DOTA_Tooltip_modifier_greed_cave_monster_berserk,Берсерк подземелья
DOTA_Tooltip_modifier_greed_cave_monster_berserk_Description,Модификатор Небесного подземелья: монстры наносят больше урона и имеют повышенную скорость атаки.
DOTA_Tooltip_modifier_greed_cave_monster_tough,Твердость тайного подземелья
DOTA_Tooltip_modifier_greed_cave_monster_tough_Description,Свойство Небесного подземелья: монстры получают дополнительное сопротивление урону.
DOTA_Tooltip_modifier_ak_rune_arcane_Description,"Снижение перезарядки на 25%, снижение затрат маны на 30%."
DOTA_Tooltip_modifier_item_0554_blood_curse,Проклятие Кровожада
DOTA_Tooltip_modifier_item_0554_blood_curse_Description,Увеличивает время восстановления зарядов способностей передвижения; но даёт скорость передвижения и сопротивление урону.
DOTA_Tooltip_modifier_axe_003_helix_attack_speed,Вихрь
DOTA_Tooltip_modifier_axe_003_helix_attack_speed_Description,При срабатывании Контрспирали от атаки скорость атаки повышается. Эффект складывается.
DOTA_Tooltip_modifier_item_0217_pojun,Сокрушение
DOTA_Tooltip_modifier_item_0217_pojun_Description,При крите физического урона есть шанс сделать цель уязвимой и добавить слой «Пробоя брони».
DOTA_Tooltip_modifier_item_0217_armor_break,Пробой брони
DOTA_Tooltip_modifier_item_0217_armor_break_Description,Броня снижается с каждым слоем.
DOTA_Tooltip_modifier_item_0371_corrosion,Коррозия
DOTA_Tooltip_modifier_item_0371_corrosion_Description,Снижает физическую броню. Эффект усиливается с каждым слоем.
DOTA_Tooltip_modifier_item_0382_chaos_poison,Хаотичный яд
DOTA_Tooltip_modifier_item_0382_chaos_poison_Description,При наложении на цель любого отрицательного статуса есть шанс наложить 1 слой отравления.
DOTA_Tooltip_modifier_item_0385_lionheart_reduction,Львиный бастион
DOTA_Tooltip_modifier_item_0385_lionheart_reduction_Description,Получаемый урон значительно снижается.
DOTA_Tooltip_item_0402_modifier,Ядовитый шип
DOTA_Tooltip_item_0402_modifier_Description,Каждое наложение отравления сразу наносит урон ядом.
DOTA_Tooltip_modifier_item_0420_blood_moon,Кровавая луна
DOTA_Tooltip_modifier_item_0420_blood_moon_Description,Метка «Кровавая луна»: атаки носителя накладывают уязвимость.
DOTA_Tooltip_modifier_item_0421_void_scale,Шкала пустоты
DOTA_Tooltip_modifier_item_0421_void_scale_Description,Увеличивает расход маны и урон от способностей.
DOTA_Tooltip_modifier_item_0424_shield_loss,Утечка шипастой энергии
DOTA_Tooltip_modifier_item_0424_shield_loss_Description,Каждые 0.5 секунды теряется часть максимального щита.
DOTA_Tooltip_modifier_item_0426_stasis,Стазис
DOTA_Tooltip_modifier_item_0426_stasis_Description,Снижает получаемый урон и даёт универсальный вампиризм.
DOTA_Tooltip_modifier_item_0536_passive,Разрушение брони
DOTA_Tooltip_modifier_item_0536_passive_Description,"Получаемый урон увеличен, а итоговый урон получает бонус в зависимости от текущей общей брони."
DOTA_Tooltip_modifier_item_0551_clear_spring_debuff,Дух чистого родника
DOTA_Tooltip_modifier_item_0551_clear_spring_debuff_Description,Скорость атаки и скорость передвижения снижены.
DOTA_Tooltip_modifier_item_0620_frost_main,Морозная порча
DOTA_Tooltip_modifier_item_0620_frost_main_Description,"Прямые атаки по замороженным целям: при достижении предела слоёв заморозки срабатывает обморожение. Если вы заморожены, получаете снижение урона и скорость атаки."
DOTA_Tooltip_modifier_item_0620_frostbite,Обморожение
DOTA_Tooltip_modifier_item_0620_frostbite_Description,Каждую секунду цель получает магический урон в размере определённого процента от всех характеристик наложившего.
DOTA_Tooltip_modifier_item_0620_cold_boon,Стужа
DOTA_Tooltip_modifier_item_0620_cold_boon_Description,"Во время заморозки: получаемый урон снижен, скорость атаки повышена."
DOTA_Tooltip_modifier_item_0644_world_curse,Проклятие мира
DOTA_Tooltip_modifier_item_0644_world_curse_Description,"При здоровье выше 50% вы отравлены, а урон от яда снижен; яд способен наносить магический критический урон."
DOTA_Tooltip_modifier_item_0646_heavenly_punishment,Небесная кара
DOTA_Tooltip_modifier_item_0646_heavenly_punishment_Description,"Каждую секунду на случайного врага поблизости обрушивается молния, наносящая чистый урон на основе всех характеристик."
DOTA_Tooltip_modifier_item_0649_phase,Фаза
DOTA_Tooltip_modifier_item_0649_phase_Description,"Иммунитет к урону, но можно действовать, атаковать, подвергаться атакам и контролю."
DOTA_Tooltip_modifier_item_P046_potion_Description,"Медитация. После использования: восстановление маны +18 в секунду, затраты маны на способности -15%. Длится 600 секунд. {包括血蓝}"
DOTA_Tooltip_modifier_elite_072_slow,Тёмный ядовитый туман
DOTA_Tooltip_modifier_elite_072_slow_Description,Скорость передвижения снижена на 50%.
DOTA_Tooltip_modifier_elite_332_material_change,Изменение цвета материала
DOTA_Tooltip_modifier_elite_332_material_change_Description,Изменение цвета материала
DOTA_Tooltip_modifier_elite_333_haste,Стремительность
DOTA_Tooltip_modifier_elite_333_haste_Description,"Скорость атаки повышена на 10%, скорость передвижения — на 50%."
DOTA_Tooltip_modifier_game_dda_daily_fatigue,Усталость
DOTA_Tooltip_modifier_game_dda_daily_fatigue_Description,Недостаточно усталости. Количество выпадений на карте снижено на %dMODIFIER_PROPERTY_TOOLTIP%%%. Ежедневная усталость обновляется в 00:00 по пекинскому времени.
DOTA_Tooltip_modifier_env_m010_erosion,Эрозия
DOTA_Tooltip_modifier_env_m010_erosion_Description,Здоровье и мана непрерывно убывают
DOTA_Tooltip_modifier_m013_contract_life_post_revive_protection,Покров возрождения
DOTA_Tooltip_modifier_m013_contract_life_post_revive_protection_Description,Получаемый урон снижен на 80%%.
DOTA_Tooltip_modifier_ak_rune_purification,Руна очищения
DOTA_Tooltip_modifier_ak_rune_purification_Description,Временный иммунитет к эффектам эрозии
DOTA_Tooltip_modifier_ak_rune_revive,Руна возрождения
DOTA_Tooltip_modifier_ak_rune_revive_Description,"Если во время действия получен смертельный урон, эффект расходуется в первую очередь: запускается возрождение и восстанавливается 50%% максимального здоровья и маны."
DOTA_Tooltip_modifier_cs_boss_attack_vulnerability_debuff,Уязвимость
DOTA_Tooltip_modifier_cs_boss_attack_vulnerability_debuff_Description,"Каждый уровень увеличивает получаемый урон на 5%. Если в течение 1.5 секунды не получено атак от босса, все уровни снимаются."
DOTA_Tooltip_modifier_item_0374_focus_buff,Сосредоточение
DOTA_Tooltip_modifier_item_0374_focus_buff_Description,"Стоя на месте, увеличивает весь урон."
DOTA_Tooltip_modifier_item_0391_frost_slow_debuff,Морозный холод
DOTA_Tooltip_modifier_item_0391_frost_slow_debuff_Description,Скорость атаки и передвижения снижены.
DOTA_Tooltip_modifier_item_0391_frost_stats_buff,Аура поддержки
DOTA_Tooltip_modifier_item_0391_frost_stats_buff_Description,Даёт дополнительные характеристики.
DOTA_Tooltip_modifier_item_0650_archmage,Архимаг
DOTA_Tooltip_modifier_item_0650_archmage_Description,"Периодически расходует текущую ману, создавая взрыв по области; считается применением способности."
DOTA_Tooltip_modifier_item_0651_shadow_resonance,Резонанс теней
DOTA_Tooltip_modifier_item_0651_shadow_resonance_Description,Каждый предмет сета «Тень» повышает скорость атаки и передвижения. Эффект до 3 предметов (уровень = количество активных предметов).
DOTA_Tooltip_modifier_item_P056_potion,Зелье атаки II
DOTA_Tooltip_modifier_item_P056_potion_Description,Увеличивает силу атаки.
DOTA_Tooltip_modifier_item_P057_potion,Зелье защиты II
DOTA_Tooltip_modifier_item_P057_potion_Description,Увеличивает броню.
DOTA_Tooltip_modifier_item_0348_mark,Резня
DOTA_Tooltip_modifier_item_0348_mark_Description,"Получаемый урон от наложившего метку увеличен. Чем меньше здоровья, тем сильнее эффект."
DOTA_Tooltip_modifier_boss_brewmaster_1_speed_buff,Хмельной азарт
DOTA_Tooltip_modifier_wearable_aura_1_effect,Затонувшая аура маны
DOTA_Tooltip_modifier_wearable_aura_1_effect_Description,Восстанавливает 1%% максимального запаса маны в секунду.
DOTA_Tooltip_modifier_wearable_aura_2_effect,Священная аура брони
DOTA_Tooltip_modifier_wearable_aura_2_effect_Description,Броня увеличена на 5%%.
DOTA_Tooltip_modifier_wearable_aura_3_effect,Разрастающаяся аура крита
DOTA_Tooltip_modifier_wearable_aura_3_effect_Description,Глобальный шанс крита увеличен на 3%%.
DOTA_Tooltip_modifier_wearable_aura_4_effect,Кристальная аура вампиризма
DOTA_Tooltip_modifier_wearable_aura_4_effect_Description,Глобальный вампиризм увеличен на 3%%.
DOTA_Tooltip_modifier_boss_brewmaster_1_speed_buff_Description,"Скорость передвижения увеличена на 50%, скорость атаки увеличена на 50%."