--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
DOTA_Tooltip_modifier_greed_cave_player_poison_Description,Overwhelming Affix: Periodically lose health during combat.
DOTA_Tooltip_modifier_greed_cave_healing_down,Healing Reduction
DOTA_Tooltip_modifier_greed_cave_healing_down_Description,Overwhelming Affix: Reduces incoming healing and recovery effects.
DOTA_Tooltip_modifier_greed_cave_monster_berserk,Cave Frenzy
DOTA_Tooltip_modifier_greed_cave_monster_berserk_Description,Overwhelming Affix: Monsters deal increased damage and have increased attack speed.
DOTA_Tooltip_modifier_greed_cave_monster_tough,Cave Hardening
DOTA_Tooltip_modifier_greed_cave_monster_tough_Description,Overwhelming Affix: Monsters gain additional damage resistance.
DOTA_Tooltip_modifier_item_0554_blood_curse,Bloodseeker's Curse
DOTA_Tooltip_modifier_item_0554_blood_curse_Description,Increases the charge restore time of your movement abilities; but grants movement speed and damage resistance.
DOTA_Tooltip_modifier_axe_003_helix_attack_speed,Whirl Dance
DOTA_Tooltip_modifier_axe_003_helix_attack_speed_Description,"After Counter Helix is triggered by an attack, grants attack speed. Stacks."
DOTA_Tooltip_modifier_item_0217_pojun,Ruin
DOTA_Tooltip_modifier_item_0217_pojun_Description,Physical critical strikes have a chance to apply Vulnerability and stack Armor Break.
DOTA_Tooltip_modifier_item_0217_armor_break,Armor Break
DOTA_Tooltip_modifier_item_0217_armor_break_Description,Armor reduced per stack.
DOTA_Tooltip_modifier_item_0371_corrosion,Corrosion
DOTA_Tooltip_modifier_item_0371_corrosion_Description,"Reduces physical armor, scaling with stacks."
DOTA_Tooltip_modifier_item_0382_chaos_poison,Chaos Poison
DOTA_Tooltip_modifier_item_0382_chaos_poison_Description,"Whenever a debuff is applied to the target, has a chance to apply 1 stack of Poison."
DOTA_Tooltip_modifier_item_0385_lionheart_reduction,Lionheart Bulwark
DOTA_Tooltip_modifier_item_0385_lionheart_reduction_Description,Damage taken is greatly reduced.
DOTA_Tooltip_item_0402_modifier,Poison Thorns
DOTA_Tooltip_item_0402_modifier_Description,"Whenever Poison is applied, immediately deals Poison damage."
DOTA_Tooltip_modifier_item_0420_blood_moon,Blood Moon
DOTA_Tooltip_modifier_item_0420_blood_moon_Description,Carries the Blood Moon mark: attacks apply Vulnerability.
DOTA_Tooltip_modifier_item_0421_void_scale,Void Scale
DOTA_Tooltip_modifier_item_0421_void_scale_Description,Increases mana cost and spell damage.
DOTA_Tooltip_modifier_item_0424_shield_loss,Thorn Energy Leak
DOTA_Tooltip_modifier_item_0424_shield_loss_Description,Loses a portion of max shield every 0.5 seconds.
DOTA_Tooltip_modifier_item_0426_stasis,Stasis
DOTA_Tooltip_modifier_item_0426_stasis_Description,Take reduced damage and gain universal lifesteal.
DOTA_Tooltip_modifier_item_0536_passive,Armor Shred
DOTA_Tooltip_modifier_item_0536_passive_Description,Take increased damage and gain final damage amplification based on current total armor.
DOTA_Tooltip_modifier_item_0551_clear_spring_debuff,Clear Spring Spirit
DOTA_Tooltip_modifier_item_0551_clear_spring_debuff_Description,Reduced attack speed and movement speed.
DOTA_Tooltip_modifier_item_0620_frost_main,Frost Erosion
DOTA_Tooltip_modifier_item_0620_frost_main_Description,"Direct attacks against frozen targets trigger frostbite when freeze stacks reach the cap; while you are frozen, gain damage reduction and attack speed."
DOTA_Tooltip_modifier_item_0620_frostbite,Frostbite
DOTA_Tooltip_modifier_item_0620_frostbite_Description,Takes magic damage per second based on a percentage of the applier's total attributes.
DOTA_Tooltip_modifier_item_0620_cold_boon,Biting Cold
DOTA_Tooltip_modifier_item_0620_cold_boon_Description,"While frozen, take reduced damage and gain attack speed."
DOTA_Tooltip_modifier_item_0644_world_curse,World Erosion Curse
DOTA_Tooltip_modifier_item_0644_world_curse_Description,"While above 50% HP, become poisoned and take reduced poison damage; poison can critically strike for magic damage."
DOTA_Tooltip_modifier_item_0646_heavenly_punishment,Heavenly Punishment
DOTA_Tooltip_modifier_item_0646_heavenly_punishment_Description,"Calls down a lightning bolt on a random nearby enemy every second, dealing pure damage based on total attributes."
DOTA_Tooltip_modifier_item_0649_phase,Phase
DOTA_Tooltip_modifier_item_0649_phase_Description,"Immune to damage, but can still act, attack, be attacked, and be controlled."
DOTA_Tooltip_modifier_elite_072_slow,Shadow Poison Mist
DOTA_Tooltip_modifier_elite_072_slow_Description,Movement speed reduced by 50%.
DOTA_Tooltip_modifier_elite_332_material_change,Material Color Change
DOTA_Tooltip_modifier_elite_332_material_change_Description,Material Color Change
DOTA_Tooltip_modifier_elite_333_haste,Swift Inspiration
DOTA_Tooltip_modifier_game_dda_daily_fatigue,Fatigue
DOTA_Tooltip_modifier_game_dda_daily_fatigue_Description,"Current fatigue is insufficient, map drop count reduced by %dMODIFIER_PROPERTY_TOOLTIP%%%. Daily fatigue resets at midnight Beijing time."
DOTA_Tooltip_modifier_env_m010_erosion,Erosion
DOTA_Tooltip_modifier_env_m010_erosion_Description,Health and mana are continuously draining.
DOTA_Tooltip_modifier_m013_contract_life_post_revive_protection,Revive Protection
DOTA_Tooltip_modifier_m013_contract_life_post_revive_protection_Description,Incoming damage reduced by 80%%.
DOTA_Tooltip_modifier_ak_rune_purification,Purification Rune
DOTA_Tooltip_modifier_ak_rune_purification_Description,Temporarily immune to Erosion effects.
DOTA_Tooltip_modifier_ak_rune_revive,Revive Rune
DOTA_Tooltip_modifier_ak_rune_revive_Description,"While active, lethal damage consumes this first, entering the revive process and restoring 50%% max health and mana."
DOTA_Tooltip_modifier_cs_boss_attack_vulnerability_debuff,Vulnerability
DOTA_Tooltip_modifier_elite_333_haste_Description,Attack speed increased by 10% and movement speed by 50%.
DOTA_Tooltip_modifier_cs_boss_attack_vulnerability_debuff_Description,Each stack increases damage taken by 5%. All stacks are removed if no Boss attack is received for 1.5 seconds.
DOTA_Tooltip_modifier_item_0374_focus_buff,Focus
DOTA_Tooltip_modifier_item_0374_focus_buff_Description,Standing still increases all damage.
DOTA_Tooltip_modifier_item_0391_frost_slow_debuff,Frost Chill
DOTA_Tooltip_modifier_item_0391_frost_slow_debuff_Description,Reduces attack speed and movement speed.
DOTA_Tooltip_modifier_item_0391_frost_stats_buff,Aura Support
DOTA_Tooltip_modifier_item_0391_frost_stats_buff_Description,Grants bonus to all attributes.
DOTA_Tooltip_modifier_item_0650_archmage,Archmage
DOTA_Tooltip_modifier_item_0650_archmage_Description,"Periodically consumes current mana to channel an area blast, which counts as a spell cast."
DOTA_Tooltip_modifier_item_0651_shadow_resonance,Shadow Resonance
DOTA_Tooltip_modifier_item_0651_shadow_resonance_Description,"Each piece of the Swift Shadow set increases attack speed and movement speed, up to 3 pieces (stacks = number of active pieces)."
DOTA_Tooltip_modifier_item_P056_potion,Attack Potion II
DOTA_Tooltip_modifier_item_P056_potion_Description,Increases attack damage.
DOTA_Tooltip_modifier_item_P057_potion,Defense Potion II
DOTA_Tooltip_modifier_item_P057_potion_Description,Increases armor.
DOTA_Tooltip_modifier_item_0348_mark,Slaughter
DOTA_Tooltip_modifier_item_0348_mark_Description,"Takes increased damage from the caster of the mark. The lower the health, the stronger the effect."
DOTA_Tooltip_modifier_boss_brewmaster_1_speed_buff,Drunken Haste
DOTA_Tooltip_modifier_boss_brewmaster_1_speed_buff_Description,Increases movement speed by 50% and attack speed by 50%.
DOTA_Tooltip_modifier_wearable_aura_1_effect,Submerged Mana Regen Aura
DOTA_Tooltip_modifier_wearable_aura_1_effect_Description,Restores 1%% of maximum mana per second.
DOTA_Tooltip_modifier_wearable_aura_2_effect,Divine Armor Aura
DOTA_Tooltip_modifier_wearable_aura_2_effect_Description,Increases armor by 5%%.
DOTA_Tooltip_modifier_wearable_aura_3_effect,Creeping Critical Aura
DOTA_Tooltip_modifier_wearable_aura_3_effect_Description,Increases global critical strike chance by 3%%.
DOTA_Tooltip_modifier_wearable_aura_4_effect,Crystal Lifesteal Aura
DOTA_Tooltip_modifier_wearable_aura_4_effect_Description,Increases global lifesteal by 3%%.